unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2003,1287,673,614,112,30,82,12.18
100663,2003,1607,1042,565,266,61,205,19.67
100751,2003,2982,1685,1297,1121,364,757,44.93
100858,2003,3692,1965,1727,1352,444,908,46.21
101435,2003,203,76,127,72,30,42,55.26
101480,2003,1044,561,483,139,45,94,16.76
101675,2003,347,179,168,24,6,18,10.06
101879,2003,789,479,310,142,37,105,21.92
102049,2003,682,426,256,362,123,239,56.1
102094,2003,1218,704,514,155,42,113,16.05
102234,2003,308,193,115,157,61,96,49.74
102368,2003,1229,672,557,215,66,149,22.17
102377,2003,528,272,256,82,32,50,18.38
104151,2003,6815,3652,3163,1997,730,1267,34.69
104179,2003,5780,3154,2626,1870,708,1162,36.84
105330,2003,2114,1249,865,644,196,448,35.87
106245,2003,691,405,286,29,9,20,4.94
106342,2003,120,67,53,53,23,30,44.78
106397,2003,2260,1175,1085,775,318,457,38.89
106412,2003,731,333,398,47,12,35,10.51
106458,2003,1426,798,628,233,70,163,20.43
106467,2003,1445,723,722,248,96,152,21.02
106485,2003,674,371,303,57,25,32,8.63
106704,2003,2414,1450,964,527,165,362,24.97
107044,2003,966,543,423,369,132,237,43.65
107080,2003,267,155,112,157,63,94,60.65
107141,2003,274,140,134,145,68,77,55
107512,2003,343,195,148,140,52,88,45.13
107558,2003,206,113,93,63,20,43,38.05
110097,2003,685,459,226,348,104,244,53.16
110404,2003,190,64,126,138,90,48,75
110422,2003,2798,1239,1559,673,264,409,33.01
110486,2003,714,476,238,92,23,69,14.5
110495,2003,551,365,186,119,37,82,22.47
110510,2003,1335,918,417,178,45,133,14.49
110529,2003,2558,1107,1451,384,172,212,19.15
110538,2003,1970,1140,830,322,71,251,22.02
110547,2003,639,458,181,31,5,26,5.68
110556,2003,2485,1503,982,353,101,252,16.77
110565,2003,3098,1873,1225,481,107,374,19.97
110574,2003,672,415,257,111,32,79,19.04
110583,2003,3339,2236,1103,432,103,329,14.71
110592,2003,1305,845,460,115,32,83,9.82
110617,2003,2347,1415,932,227,62,165,11.66
113698,2003,244,188,56,98,24,74,39.36
115755,2003,853,481,372,97,26,71,14.76
119173,2003,339,330,9,84,4,80,24.24
120184,2003,190,106,84,90,36,54,50.94
121309,2003,566,356,210,353,119,234,65.73
121345,2003,398,202,196,354,170,184,91.09
122409,2003,3418,2106,1312,973,286,687,32.62
122436,2003,1059,718,341,695,208,487,67.83
122597,2003,2291,1474,817,267,69,198,13.43
122612,2003,914,632,282,452,131,321,50.79
122931,2003,892,509,383,690,284,406,79.76
123554,2003,562,317,245,285,106,179,56.47
123572,2003,1287,838,449,341,80,261,31.15
126562,2003,624,353,271,104,36,68,19.26
126580,2003,892,552,340,193,43,150,27.17
126614,2003,5515,2761,2754,2267,966,1301,47.12
126818,2003,3730,2012,1718,1319,483,836,41.55
127060,2003,1010,549,461,540,216,324,59.02
127185,2003,899,422,477,138,51,87,20.62
127565,2003,1809,931,878,82,26,56,6.02
127741,2003,2118,1337,781,598,169,429,32.09
128106,2003,686,372,314,93,35,58,15.59
128744,2003,286,158,128,61,14,47,29.75
128771,2003,1176,571,605,166,59,107,18.74
129020,2003,3182,1733,1449,1912,757,1155,66.65
129242,2003,789,459,330,636,260,376,81.92
129941,2003,618,301,317,223,85,138,45.85
130253,2003,816,497,319,462,144,318,63.98
130314,2003,190,190,0,59,0,59,31.05
130493,2003,1310,802,508,7,2,5,0.62
130590,2003,548,257,291,421,212,209,81.32
130697,2003,713,376,337,631,291,340,90.43
130776,2003,808,444,364,105,40,65,14.64
130794,2003,1350,680,670,1221,582,639,93.97
130934,2003,597,355,242,89,13,76,21.41
130943,2003,3794,2157,1637,2016,761,1255,58.18
131159,2003,1238,832,406,882,286,596,71.63
131283,2003,646,362,284,423,167,256,70.72
131450,2003,236,124,112,25,8,17,13.71
131469,2003,2260,1333,927,1726,683,1043,78.24
131496,2003,1504,827,677,1321,575,746,90.21
131520,2003,1446,992,454,679,155,524,52.82
132471,2003,517,336,181,91,33,58,17.26
132602,2003,827,492,335,112,24,88,17.89
132903,2003,5653,2956,2697,1923,673,1250,42.29
133492,2003,434,248,186,250,101,149,60.08
133553,2003,1012,164,848,292,238,54,32.93
133650,2003,2403,1391,1012,289,79,210,15.1
133669,2003,2038,1143,895,335,109,226,19.77
