unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2009,1042,537,505,115,22,93,17.32
100663,2009,1494,819,675,474,188,286,34.92
100751,2009,5062,2746,2316,2093,772,1321,48.11
100858,2009,3911,2007,1904,1733,617,1116,55.61
101435,2009,237,99,138,58,30,28,28.28
101480,2009,1220,695,525,137,30,107,15.4
101675,2009,392,179,213,21,4,17,9.5
101879,2009,1064,597,467,122,33,89,14.91
102049,2009,730,486,244,430,132,298,61.32
102094,2009,1753,927,826,244,83,161,17.37
102234,2009,355,203,152,152,55,97,47.78
102368,2009,1997,1192,805,265,78,187,15.69
102377,2009,688,410,278,123,25,98,23.9
104151,2009,6747,3279,3468,3054,1335,1719,52.42
104179,2009,6782,3697,3085,2922,1146,1776,48.04
105330,2009,3377,1951,1426,1122,354,768,39.36
106245,2009,674,387,287,74,27,47,12.14
106342,2009,216,114,102,75,39,36,31.58
106397,2009,2890,1448,1442,1129,466,663,45.79
106412,2009,959,523,436,67,16,51,9.75
106458,2009,1645,874,771,349,154,195,22.31
106467,2009,1744,882,862,375,139,236,26.76
106485,2009,740,373,367,63,16,47,12.6
106704,2009,1753,1023,730,403,136,267,26.1
107044,2009,950,530,420,430,143,287,54.15
107080,2009,412,245,167,265,107,158,64.49
107141,2009,305,170,135,167,62,105,61.76
107512,2009,389,198,191,208,84,124,62.63
107558,2009,152,72,80,39,12,27,37.5
110097,2009,775,508,267,402,131,271,53.35
110404,2009,251,106,145,212,122,90,84.91
110422,2009,3877,1803,2074,1557,593,964,53.47
110486,2009,1061,652,409,139,39,100,15.34
110495,2009,798,555,243,124,37,87,15.68
110510,2009,1968,1275,693,265,75,190,14.9
110529,2009,2728,1192,1536,401,134,267,22.4
110538,2009,2468,1338,1130,561,159,402,30.04
110547,2009,1069,703,366,66,13,53,7.54
110556,2009,2619,1574,1045,407,123,284,18.04
110565,2009,3842,2233,1609,666,180,486,21.76
110574,2009,1436,884,552,184,54,130,14.71
110583,2009,3473,2133,1340,551,172,379,17.77
110592,2009,1877,1173,704,127,40,87,7.42
110617,2009,2954,1712,1242,196,50,146,8.53
113698,2009,289,207,82,152,25,127,61.35
115755,2009,1345,745,600,214,57,157,21.07
119173,2009,367,351,16,109,5,104,29.63
120184,2009,116,78,38,33,10,23,29.49
121309,2009,533,343,190,338,113,225,65.6
121345,2009,389,190,199,355,180,175,92.11
122409,2009,3291,1881,1410,990,332,658,34.98
122436,2009,1081,621,460,714,259,455,73.27
122597,2009,3855,2497,1358,704,178,526,21.07
122612,2009,1073,744,329,648,172,476,63.98
122931,2009,1084,571,513,830,371,459,80.39
123554,2009,567,354,213,320,101,219,61.86
123572,2009,1465,953,512,413,94,319,33.47
126562,2009,1037,556,481,172,64,108,19.42
126580,2009,1035,543,492,247,98,149,27.44
126614,2009,5515,2719,2796,2598,1102,1496,55.02
126818,2009,4274,2360,1914,1732,593,1139,48.26
127060,2009,1196,684,512,797,314,483,70.61
127185,2009,766,344,422,138,64,74,21.51
127565,2009,1959,985,974,115,46,69,7.01
127741,2009,2275,1360,915,605,165,440,32.35
128106,2009,1013,513,500,178,67,111,21.64
128744,2009,429,260,169,108,37,71,27.31
128771,2009,1277,621,656,321,128,193,31.08
129020,2009,3206,1652,1554,2216,986,1230,74.46
129242,2009,848,479,369,664,270,394,82.25
129941,2009,1252,639,613,553,247,306,47.89
130253,2009,907,542,365,526,180,346,63.84
130314,2009,184,184,0,82,0,82,44.57
130493,2009,1237,792,445,280,65,215,27.15
130590,2009,573,272,301,464,232,232,85.29
130697,2009,744,389,355,681,322,359,92.29
130776,2009,1008,549,459,255,99,156,28.42
130794,2009,1305,651,654,1145,553,592,90.94
130934,2009,739,463,276,165,42,123,26.57
130943,2009,4211,2424,1787,2486,929,1557,64.23
131159,2009,1527,917,610,1164,449,715,77.97
131283,2009,813,456,357,501,184,317,69.52
131450,2009,211,112,99,51,13,38,33.93
131469,2009,2582,1435,1147,1940,825,1115,77.7
131496,2009,1550,861,689,1389,601,788,91.52
131520,2009,1600,1097,503,633,144,489,44.58
132471,2009,648,433,215,102,25,77,17.78
132602,2009,917,551,366,233,76,157,28.49
132903,2009,6251,3342,2909,2529,868,1661,49.7
133492,2009,504,300,204,301,122,179,59.67
133553,2009,853,134,719,265,203,62,46.27
133650,2009,2348,1421,927,267,88,179,12.6
133669,2009,2447,1314,1133,487,156,331,25.19
133711,2009,564,337,227,281,94,187,55.49
133881,2009,538,145,393,222,144,78,53.79
133951,2009,2946,1615,1331,828,278,550,34.06
134079,2009,557,319,238,257,91,166,52.04
134097,2009,5925,3476,2449,3650,1245,2405,69.19
134130,2009,6253,3728,2525,4149,1367,2782,74.62
134945,2009,665,337,328,187,78,109,32.34
135726,2009,1903,924,979,1297,599,698,75.54
136172,2009,2025,1129,896,536,155,381,33.75
136950,2009,464,287,177,299,103,196,68.29
137546,2009,502,273,229,287,124,163,59.71
138354,2009,1154,643,511,313,91,222,34.53
138716,2009,745,468,277,66,15,51,10.9
138789,2009,1063,611,452,110,20,90,14.73
139144,2009,569,402,167,315,85,230,57.21
139366,2009,1231,734,497,138,43,95,12.94
139393,2009,277,158,119,139,48,91,57.59
139658,2009,1287,712,575,1067,448,619,86.94
139719,2009,984,550,434,118,26,92,16.73
139755,2009,2654,887,1767,1064,638,426,48.03
139764,2009,435,251,184,49,16,33,13.15
139861,2009,1206,741,465,476,138,338,45.61
139931,2009,3490,1683,1807,854,292,562,33.39
139940,2009,2937,1745,1192,702,233,469,26.88
139959,2009,4675,2862,1813,2881,951,1930,67.44
140447,2009,628,349,279,294,108,186,53.3
140960,2009,866,448,418,68,18,50,11.16
140988,2009,333,175,158,105,32,73,41.71
141185,2009,168,109,59,59,21,38,34.86
141264,2009,2416,1421,995,365,85,280,19.7
141334,2009,1911,1095,816,298,81,217,19.82
141486,2009,262,164,98,73,25,48,29.27
141565,2009,460,269,191,54,17,37,13.75
141574,2009,1847,984,863,392,155,237,24.09
142276,2009,1189,599,590,122,47,75,12.52
142285,2009,1754,841,913,512,180,332,39.48
