unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1996,716,372,344,147,44,103,27.69
100663,1996,1027,597,430,134,35,99,16.58
100751,1996,2049,1195,854,744,240,504,42.18
100858,1996,3287,1746,1541,1321,446,875,50.11
101435,1996,165,95,70,62,16,46,48.42
101480,1996,817,446,371,122,23,99,22.2
101675,1996,327,146,181,125,58,67,45.89
101879,1996,790,459,331,99,28,71,15.47
102049,1996,646,388,258,329,117,212,54.64
102094,1996,1066,590,476,147,37,110,18.64
102234,1996,201,121,80,96,32,64,52.89
102368,1996,877,483,394,340,133,207,42.86
102377,1996,810,497,313,180,34,146,29.38
104151,1996,4001,2117,1884,1028,398,630,29.76
104179,1996,4006,2102,1904,1145,441,704,33.49
105330,1996,2267,1288,979,538,170,368,28.57
106245,1996,691,429,262,65,18,47,10.96
106342,1996,129,69,60,60,22,38,55.07
106397,1996,2174,1105,1069,490,184,306,27.69
106412,1996,575,302,273,47,12,35,11.59
106458,1996,1592,893,699,216,64,152,17.02
106467,1996,668,339,329,94,40,54,15.93
106485,1996,453,240,213,44,19,25,10.42
106704,1996,1478,928,550,239,69,170,18.32
107044,1996,846,497,349,266,85,181,36.42
107080,1996,306,185,121,188,78,110,59.46
107141,1996,266,148,118,101,37,64,43.24
107512,1996,451,237,214,184,69,115,48.52
107558,1996,110,52,58,37,14,23,44.23
110097,1996,407,268,139,184,62,122,45.52
110404,1996,216,64,152,156,112,44,68.75
110422,1996,2757,1202,1555,448,132,316,26.29
110486,1996,418,253,165,56,14,42,16.6
110495,1996,381,244,137,85,22,63,25.82
110510,1996,882,554,328,78,18,60,10.83
110529,1996,1497,647,850,128,56,72,11.13
110538,1996,1524,874,650,173,35,138,15.79
110547,1996,475,358,117,24,3,21,5.87
110556,1996,1503,846,657,198,54,144,17.02
110565,1996,2028,1158,870,199,48,151,13.04
110574,1996,661,420,241,83,26,57,13.57
110583,1996,2299,1407,892,152,38,114,8.1
110592,1996,1313,763,550,51,15,36,4.72
110617,1996,1396,826,570,84,23,61,7.38
113698,1996,58,41,17,23,6,17,41.46
115755,1996,823,471,352,62,13,49,10.4
119173,1996,112,112,0,61,0,61,54.46
120184,1996,124,75,49,49,16,33,44
121309,1996,515,313,202,218,70,148,47.28
121345,1996,396,187,209,331,173,158,84.49
122409,1996,2908,1752,1156,208,55,153,8.73
122436,1996,1042,569,473,542,213,329,57.82
122597,1996,1727,1102,625,111,35,76,6.9
122612,1996,616,413,203,307,89,218,52.78
122931,1996,1075,586,489,798,349,449,76.62
123554,1996,488,288,200,307,102,205,71.18
123572,1996,781,502,279,156,36,120,23.9
126562,1996,373,215,158,54,20,34,15.81
