unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2004,1198,611,587,146,31,115,18.82
100663,2004,1536,973,563,284,82,202,20.76
100751,2004,3290,1853,1437,1248,426,822,44.36
100858,2004,3579,1849,1730,1279,445,834,45.11
101435,2004,192,72,120,71,38,33,45.83
101480,2004,1017,555,462,91,20,71,12.79
101675,2004,427,203,224,49,9,40,19.7
101879,2004,856,469,387,107,27,80,17.06
102049,2004,665,423,242,359,111,248,58.63
102094,2004,1278,725,553,180,60,120,16.55
102234,2004,309,203,106,156,44,112,55.17
102368,2004,1450,788,662,230,67,163,20.69
102377,2004,701,389,312,123,35,88,22.62
104151,2004,7293,3998,3295,2324,816,1508,37.72
104179,2004,5566,3008,2558,1880,723,1157,38.46
105330,2004,2274,1309,965,652,190,462,35.29
106245,2004,759,452,307,54,18,36,7.96
106342,2004,141,66,75,62,37,25,37.88
106397,2004,2420,1222,1198,835,329,506,41.41
106412,2004,690,365,325,47,14,33,9.04
106458,2004,1296,749,547,212,71,141,18.83
106467,2004,1398,728,670,199,72,127,17.45
106485,2004,629,327,302,60,25,35,10.7
106704,2004,2216,1313,903,468,131,337,25.67
107044,2004,961,516,445,387,161,226,43.8
107080,2004,295,165,130,159,69,90,54.55
107141,2004,296,156,140,155,67,88,56.41
107512,2004,380,223,157,170,49,121,54.26
107558,2004,134,74,60,44,18,26,35.14
110097,2004,691,443,248,346,120,226,51.02
110404,2004,207,59,148,167,117,50,84.75
110422,2004,2900,1169,1731,767,304,463,39.61
110486,2004,745,483,262,128,32,96,19.88
110495,2004,653,456,197,153,41,112,24.56
110510,2004,1587,1099,488,208,53,155,14.1
110529,2004,2115,921,1194,412,188,224,24.32
110538,2004,2198,1266,932,436,102,334,26.38
110547,2004,673,459,214,35,10,25,5.45
110556,2004,2243,1351,892,378,102,276,20.43
110565,2004,3539,2094,1445,583,148,435,20.77
110574,2004,840,516,324,122,38,84,16.28
110583,2004,3300,2222,1078,406,103,303,13.64
110592,2004,1087,687,400,87,22,65,9.46
110617,2004,2268,1375,893,240,57,183,13.31
113698,2004,276,205,71,119,24,95,46.34
115755,2004,760,427,333,66,18,48,11.24
119173,2004,364,352,12,93,4,89,25.28
120184,2004,161,108,53,68,19,49,45.37
121309,2004,535,339,196,395,141,254,74.93
121345,2004,393,196,197,356,181,175,89.29
122409,2004,3527,2128,1399,1073,307,766,36
122436,2004,1174,705,469,706,259,447,63.4
122597,2004,2739,1770,969,390,114,276,15.59
122612,2004,929,614,315,518,151,367,59.77
122931,2004,1171,658,513,941,392,549,83.43
123554,2004,603,388,215,319,102,217,55.93
123572,2004,1102,713,389,344,76,268,37.59
126562,2004,686,387,299,101,34,67,17.31
126580,2004,939,562,377,198,54,144,25.62
126614,2004,5124,2484,2640,2093,909,1184,47.67
126818,2004,4047,2216,1831,1484,522,962,43.41
127060,2004,1124,588,536,633,286,347,59.01
127185,2004,930,448,482,181,67,114,25.45
127565,2004,1815,937,878,86,34,52,5.55
127741,2004,2412,1459,953,648,190,458,31.39
128106,2004,753,423,330,118,34,84,19.86
128744,2004,241,134,107,47,19,28,20.9
128771,2004,1278,596,682,213,80,133,22.32
129020,2004,3229,1789,1440,2104,830,1274,71.21
129242,2004,856,475,381,679,282,397,83.58
129941,2004,571,264,307,197,111,86,32.58
130253,2004,876,521,355,528,196,332,63.72
130314,2004,189,189,0,56,0,56,29.63
130493,2004,1396,899,497,219,46,173,19.24
130590,2004,569,283,286,442,213,229,80.92
130697,2004,728,385,343,649,300,349,90.65
130776,2004,755,382,373,120,53,67,17.54
130794,2004,1306,632,674,1161,589,572,90.51
130934,2004,687,400,287,133,23,110,27.5
130943,2004,3769,2173,1596,2131,776,1355,62.36
131159,2004,1210,776,434,902,306,596,76.8
131283,2004,719,387,332,429,182,247,63.82
131450,2004,227,121,106,18,8,10,8.26
131469,2004,2623,1441,1182,1957,830,1127,78.21
131496,2004,1523,855,668,1358,574,784,91.7
131520,2004,1445,987,458,691,151,540,54.71
