unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1992,876,444,432,157,46,111,25
100663,1992,898,479,419,54,19,35,7.31
100751,1992,2436,1310,1126,684,240,444,33.89
100858,1992,3141,1621,1520,927,295,632,38.99
101435,1992,166,91,75,53,14,39,42.86
101480,1992,1106,615,491,116,34,82,13.33
101675,1992,226,108,118,107,52,55,50.93
101879,1992,554,321,233,74,24,50,15.58
102049,1992,662,405,257,295,108,187,46.17
102094,1992,1170,668,502,123,38,85,12.72
102234,1992,295,167,128,144,58,86,51.5
102368,1992,935,460,475,217,73,144,31.3
102377,1992,612,311,301,123,36,87,27.97
104151,1992,2901,1503,1398,452,162,290,19.29
104179,1992,3803,1926,1877,814,302,512,26.58
105330,1992,2095,1203,892,315,104,211,17.54
106245,1992,1092,600,492,61,23,38,6.33
106342,1992,138,80,58,51,21,30,37.5
106397,1992,2327,1066,1261,394,165,229,21.48
106412,1992,592,341,251,27,9,18,5.28
106458,1992,1607,855,752,164,48,116,13.57
106467,1992,812,438,374,112,33,79,18.04
106485,1992,581,302,279,53,15,38,12.58
106704,1992,1948,1150,798,352,116,236,20.52
107044,1992,818,434,384,238,91,147,33.87
107080,1992,335,183,152,174,76,98,53.55
107141,1992,196,109,87,70,31,39,35.78
107512,1992,296,148,148,121,36,85,57.43
107558,1992,120,53,67,11,7,4,7.55
110097,1992,464,290,174,176,64,112,38.62
110404,1992,233,60,173,165,119,46,76.67
110422,1992,1295,566,729,136,37,99,17.49
110486,1992,323,181,142,32,11,21,11.6
110495,1992,307,191,116,33,11,22,11.52
110510,1992,737,449,288,59,23,36,8.02
110529,1992,1358,551,807,84,34,50,9.07
110538,1992,1325,758,567,148,34,114,15.04
110547,1992,485,336,149,16,6,10,2.98
110556,1992,1559,860,699,165,52,113,13.14
110565,1992,1589,926,663,108,27,81,8.75
110574,1992,572,394,178,76,17,59,14.97
110583,1992,1565,961,604,79,27,52,5.41
110592,1992,1206,738,468,45,16,29,3.93
110617,1992,922,513,409,71,20,51,9.94
113698,1992,65,45,20,24,8,16,35.56
115755,1992,779,421,358,45,16,29,6.89
119173,1992,217,217,0,64,0,64,29.49
120184,1992,85,54,31,34,14,20,37.04
121309,1992,374,248,126,94,27,67,27.02
121345,1992,382,192,190,316,148,168,87.5
122409,1992,1974,1129,845,154,45,109,9.65
122436,1992,929,524,405,462,175,287,54.77
122597,1992,1125,693,432,73,19,54,7.79
122612,1992,492,319,173,233,75,158,49.53
122931,1992,900,458,442,661,303,358,78.17
123554,1992,472,257,215,289,126,163,63.42
123572,1992,591,380,211,97,20,77,20.26
126562,1992,272,175,97,29,6,23,13.14
126580,1992,313,174,139,29,9,20,11.49
126614,1992,3559,1700,1859,1198,514,684,40.24
126818,1992,2202,1150,1052,575,205,370,32.17
127060,1992,555,284,271,303,130,173,60.92
127185,1992,1004,439,565,118,49,69,15.72
127565,1992,1227,614,613,49,17,32,5.21
127741,1992,1464,921,543,232,63,169,18.35
128106,1992,656,342,314,58,21,37,10.82
