unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1991,1010,527,483,152,32,120,22.77
100663,1991,937,500,437,82,33,49,9.8
100751,1991,2511,1348,1163,630,213,417,30.93
100858,1991,3024,1496,1528,846,312,534,35.7
101435,1991,189,101,88,60,25,35,34.65
101480,1991,1100,567,533,109,42,67,11.82
101675,1991,365,144,221,73,41,32,22.22
101879,1991,755,387,368,66,23,43,11.11
102049,1991,569,337,232,217,89,128,37.98
102094,1991,1245,653,592,117,32,85,13.02
102234,1991,279,158,121,106,42,64,40.51
102368,1991,793,437,356,205,70,135,30.89
102377,1991,837,469,368,167,70,97,20.68
104151,1991,2447,1214,1233,442,174,268,22.08
104179,1991,3970,2063,1907,786,297,489,23.7
105330,1991,1881,1064,817,294,97,197,18.52
106245,1991,941,536,405,45,14,31,5.78
106342,1991,121,79,42,48,17,31,39.24
106397,1991,2327,1080,1247,381,170,211,19.54
106412,1991,650,393,257,55,15,40,10.18
106458,1991,1521,833,688,147,44,103,12.36
106467,1991,761,403,358,103,32,71,17.62
106485,1991,478,256,222,33,13,20,7.81
106704,1991,1961,1129,832,171,46,125,11.07
107044,1991,673,383,290,192,65,127,33.16
107080,1991,281,146,135,141,67,74,50.68
107141,1991,219,123,96,65,29,36,29.27
107512,1991,338,182,156,115,44,71,39.01
107558,1991,90,52,38,9,4,5,9.62
110097,1991,391,256,135,155,45,110,42.97
110404,1991,225,73,152,146,99,47,64.38
110422,1991,1526,717,809,121,36,85,11.85
110486,1991,363,200,163,26,16,10,5
110495,1991,273,164,109,39,8,31,18.9
110510,1991,815,505,310,58,17,41,8.12
110529,1991,1583,650,933,96,28,68,10.46
110538,1991,1284,731,553,171,35,136,18.6
110547,1991,337,227,110,9,2,7,3.08
110556,1991,1648,902,746,173,61,112,12.42
110565,1991,1847,1094,753,137,30,107,9.78
110574,1991,649,445,204,87,22,65,14.61
110583,1991,2142,1283,859,88,25,63,4.91
110592,1991,1491,938,553,41,9,32,3.41
110617,1991,1210,694,516,108,28,80,11.53
113698,1991,66,50,16,22,3,19,38
115755,1991,862,468,394,61,19,42,8.97
119173,1991,190,190,0,32,0,32,16.84
120184,1991,71,51,20,25,6,19,37.25
121309,1991,317,194,123,103,34,69,35.57
121345,1991,359,164,195,294,155,139,84.76
122409,1991,2479,1440,1039,151,39,112,7.78
122436,1991,882,528,354,471,181,290,54.92
122597,1991,1219,774,445,72,28,44,5.68
122612,1991,459,299,160,205,72,133,44.48
122931,1991,928,457,471,675,335,340,74.4
123554,1991,437,241,196,247,101,146,60.58
123572,1991,680,429,251,95,18,77,17.95
126562,1991,262,152,110,25,7,18,11.84
126580,1991,319,183,136,36,12,24,13.11
126614,1991,3421,1631,1790,1268,550,718,44.02
126818,1991,2155,1144,1011,516,173,343,29.98
127060,1991,504,265,239,280,123,157,59.25
127185,1991,935,424,511,67,30,37,8.73
127565,1991,1357,669,688,35,12,23,3.44
127741,1991,1639,937,702,258,78,180,19.21
128106,1991,579,287,292,59,23,36,12.54
128744,1991,208,110,98,12,5,7,6.36
128771,1991,1088,627,461,115,34,81,12.92
129020,1991,2904,1464,1440,977,359,618,42.21
129242,1991,749,429,320,597,255,342,79.72
129941,1991,320,84,236,60,42,18,21.43
130253,1991,485,196,289,93,41,52,26.53
130314,1991,104,104,0,54,0,54,51.92
130493,1991,1002,539,463,188,49,139,25.79
130590,1991,481,226,255,387,192,195,86.28
130697,1991,663,347,316,501,223,278,80.12
130776,1991,349,187,162,96,32,64,34.22
130794,1991,1290,592,698,1127,608,519,87.67
130934,1991,585,330,255,53,12,41,12.42
