unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1993,1019,543,476,189,55,134,24.68
100663,1993,938,518,420,99,31,68,13.13
100751,1993,2516,1318,1198,638,231,407,30.88
100858,1993,2997,1552,1445,878,286,592,38.14
101435,1993,125,80,45,40,7,33,41.25
101480,1993,845,436,409,89,24,65,14.91
101675,1993,331,164,167,162,67,95,57.93
101879,1993,651,371,280,83,16,67,18.06
102049,1993,680,438,242,318,117,201,45.89
102094,1993,1086,621,465,125,38,87,14.01
102234,1993,229,129,100,106,43,63,48.84
102368,1993,926,526,400,303,108,195,37.07
102377,1993,595,302,293,104,39,65,21.52
104151,1993,3298,1637,1661,561,203,358,21.87
104179,1993,4287,2254,2033,968,317,651,28.88
105330,1993,1930,1090,840,306,103,203,18.62
106245,1993,966,565,401,59,12,47,8.32
106342,1993,166,84,82,65,29,36,42.86
106397,1993,2015,964,1051,401,158,243,25.21
106412,1993,735,379,356,52,15,37,9.76
106458,1993,1487,812,675,190,66,124,15.27
106467,1993,847,404,443,117,43,74,18.32
106485,1993,508,249,259,31,12,19,7.63
106704,1993,1792,1098,694,283,94,189,17.21
107044,1993,793,437,356,244,101,143,32.72
107080,1993,273,165,108,152,58,94,56.97
107141,1993,245,139,106,76,29,47,33.81
107512,1993,443,217,226,174,86,88,40.55
107558,1993,162,96,66,37,15,22,22.92
110097,1993,444,286,158,157,48,109,38.11
110404,1993,209,63,146,151,109,42,66.67
110422,1993,1600,722,878,155,36,119,16.48
110486,1993,317,200,117,38,12,26,13
110495,1993,387,232,155,60,22,38,16.38
110510,1993,692,433,259,37,9,28,6.47
110529,1993,1309,536,773,105,42,63,11.75
110538,1993,1244,754,490,169,27,142,18.83
110547,1993,389,252,137,15,5,10,3.97
110556,1993,1436,792,644,152,32,120,15.15
110565,1993,1309,748,561,112,40,72,9.63
110574,1993,553,371,182,59,11,48,12.94
110583,1993,1835,1125,710,80,21,59,5.24
110592,1993,1133,697,436,34,11,23,3.3
110617,1993,1086,635,451,51,8,43,6.77
113698,1993,75,46,29,17,4,13,28.26
115755,1993,553,324,229,60,9,51,15.74
119173,1993,276,273,3,56,0,56,20.51
120184,1993,96,76,20,36,5,31,40.79
121309,1993,425,255,170,127,34,93,36.47
121345,1993,390,183,207,317,167,150,81.97
122409,1993,1973,1081,892,126,25,101,9.34
122436,1993,890,516,374,468,171,297,57.56
122597,1993,1141,668,473,60,16,44,6.59
122612,1993,530,359,171,225,61,164,45.68
122931,1993,888,489,399,657,287,370,75.66
123554,1993,464,249,215,294,128,166,66.67
123572,1993,539,362,177,82,18,64,17.68
126562,1993,243,141,102,38,9,29,20.57
126580,1993,306,164,142,46,18,28,17.07
126614,1993,3440,1693,1747,1215,509,706,41.7
126818,1993,2168,1160,1008,611,210,401,34.57
127060,1993,576,306,270,332,144,188,61.44
127185,1993,1078,438,640,95,39,56,12.79
127565,1993,1380,682,698,43,22,21,3.08
127741,1993,1704,1019,685,309,81,228,22.37
128106,1993,678,321,357,78,34,44,13.71
128744,1993,137,66,71,58,20,38,57.58
128771,1993,902,483,419,80,18,62,12.84
129020,1993,2052,1068,984,775,297,478,44.76
129242,1993,773,392,381,595,283,312,79.59
129941,1993,289,103,186,47,27,20,19.42
130253,1993,515,274,241,197,72,125,45.62
130314,1993,93,93,0,47,0,47,50.54
130493,1993,1044,572,472,139,38,101,17.66
130590,1993,476,242,234,362,173,189,78.1
130697,1993,703,365,338,547,257,290,79.45
130776,1993,526,247,279,115,50,65,26.32
130794,1993,1317,627,690,1135,582,553,88.2
130934,1993,686,386,300,68,11,57,14.77
