unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2002,1043,506,537,118,37,81,16.01
100663,2002,1398,820,578,228,86,142,17.32
100751,2002,2585,1441,1144,932,318,614,42.61
100858,2002,4148,2184,1964,1424,498,926,42.4
101435,2002,165,108,57,76,21,55,50.93
101480,2002,1059,567,492,146,41,105,18.52
101675,2002,391,195,196,24,7,17,8.72
101879,2002,786,457,329,104,27,77,16.85
102049,2002,652,428,224,5,0,5,1.17
102094,2002,1004,597,407,135,42,93,15.58
102234,2002,289,168,121,151,60,91,54.17
102368,2002,1353,730,623,288,101,187,25.62
102377,2002,738,426,312,168,36,132,30.99
104151,2002,6094,3323,2771,1813,661,1152,34.67
104179,2002,5613,3008,2605,1805,703,1102,36.64
105330,2002,2153,1327,826,681,173,508,38.28
106245,2002,739,456,283,72,19,53,11.62
106342,2002,113,47,66,62,33,29,61.7
106397,2002,2137,1106,1031,707,284,423,38.25
106412,2002,712,358,354,63,16,47,13.13
106458,2002,1539,813,726,291,109,182,22.39
106467,2002,1169,624,545,207,80,127,20.35
106485,2002,645,368,277,46,14,32,8.7
106704,2002,1766,1062,704,389,108,281,26.46
107044,2002,1011,580,431,383,138,245,42.24
107080,2002,317,184,133,199,73,126,68.48
107141,2002,303,186,117,176,64,112,60.22
107512,2002,396,229,167,166,64,102,44.54
107558,2002,200,97,103,60,28,32,32.99
110097,2002,656,414,242,345,108,237,57.25
110404,2002,252,73,179,203,138,65,89.04
110422,2002,2565,1158,1407,587,209,378,32.64
110486,2002,679,408,271,99,28,71,17.4
110495,2002,550,360,190,116,20,96,26.67
110510,2002,1161,751,410,142,32,110,14.65
110529,2002,2674,1080,1594,345,161,184,17.04
110538,2002,1995,1125,870,372,95,277,24.62
110547,2002,630,466,164,28,6,22,4.72
110556,2002,2189,1274,915,346,109,237,18.6
110565,2002,3291,2039,1252,481,111,370,18.15
110574,2002,746,473,273,119,43,76,16.07
110583,2002,2912,1871,1041,365,91,274,14.64
110592,2002,1404,906,498,116,34,82,9.05
110617,2002,2378,1395,983,221,56,165,11.83
113698,2002,202,145,57,75,19,56,38.62
115755,2002,836,505,331,97,28,69,13.66
119173,2002,127,123,4,64,1,63,51.22
120184,2002,97,57,40,42,12,30,52.63
121309,2002,535,324,211,321,111,210,64.81
121345,2002,374,191,183,338,158,180,94.24
122409,2002,3662,2217,1445,879,237,642,28.96
122436,2002,1049,681,368,672,219,453,66.52
122597,2002,2130,1378,752,211,52,159,11.54
122612,2002,839,582,257,431,132,299,51.37
122931,2002,1116,659,457,873,342,531,80.58
123554,2002,663,408,255,381,141,240,58.82
123572,2002,1210,816,394,289,53,236,28.92
126562,2002,580,326,254,86,26,60,18.4
126580,2002,834,501,333,211,66,145,28.94
126614,2002,5377,2607,2770,2218,1001,1217,46.68
126818,2002,3783,2121,1662,1340,442,898,42.34
127060,2002,988,527,461,571,235,336,63.76
127185,2002,1035,467,568,147,59,88,18.84
127565,2002,1655,852,803,73,25,48,5.63
127741,2002,1938,1253,685,548,116,432,34.48
128106,2002,642,329,313,105,39,66,20.06
128744,2002,234,144,90,66,23,43,29.86
128771,2002,1473,735,738,192,61,131,17.82
129020,2002,3157,1722,1435,1766,674,1092,63.41
129242,2002,813,461,352,609,240,369,80.04
129941,2002,529,240,289,166,67,99,41.25
130253,2002,797,457,340,445,171,274,59.96
130314,2002,201,201,0,69,0,69,34.33
130493,2002,1276,719,557,144,46,98,13.63
130590,2002,548,286,262,445,207,238,83.22
130697,2002,716,377,339,634,288,346,91.78
130776,2002,794,434,360,113,32,81,18.66
130794,2002,1299,643,656,1164,576,588,91.45
130934,2002,761,439,322,1,0,1,0.23
130943,2002,3712,2222,1490,2282,777,1505,67.73
131159,2002,1303,811,492,917,329,588,72.5
131283,2002,700,406,294,438,170,268,66.01
131450,2002,235,122,113,12,6,6,4.92
131469,2002,2283,1359,924,1735,660,1075,79.1
131496,2002,1477,795,682,1324,608,716,90.06
131520,2002,1366,931,435,621,125,496,53.28
132471,2002,446,273,173,110,34,76,27.84
132602,2002,607,351,256,161,59,102,29.06
132903,2002,5330,2851,2479,1736,578,1158,40.62
133492,2002,442,239,203,261,117,144,60.25
133553,2002,872,148,724,315,244,71,47.97
133650,2002,2097,1249,848,280,77,203,16.25
133669,2002,1994,1102,892,323,115,208,18.87
133711,2002,481,308,173,231,70,161,52.27
133881,2002,518,139,379,218,142,76,54.68
133951,2002,2801,1617,1184,566,176,390,24.12
134079,2002,491,322,169,184,41,143,44.41
134097,2002,6258,3742,2516,2927,959,1968,52.59
134130,2002,6406,3674,2732,3586,1215,2371,64.53
134945,2002,389,165,224,105,52,53,32.12
135726,2002,2046,1197,849,1311,497,814,68
136172,2002,1865,1067,798,395,129,266,24.93
136950,2002,466,280,186,278,97,181,64.64
137546,2002,542,325,217,299,104,195,60
138354,2002,760,443,317,172,52,120,27.09
138716,2002,470,300,170,88,22,66,22
138789,2002,581,350,231,48,13,35,10
139144,2002,565,353,212,276,94,182,51.56
139366,2002,943,548,395,91,18,73,13.32
139393,2002,231,141,90,129,44,85,60.28
139658,2002,1558,903,655,1061,444,617,68.33
139719,2002,386,192,194,59,12,47,24.48
139755,2002,2275,636,1639,711,445,266,41.82
139764,2002,331,216,115,46,15,31,14.35
139861,2002,984,612,372,199,45,154,25.16
139931,2002,2597,1232,1365,434,138,296,24.03
139940,2002,2469,1419,1050,423,107,316,22.27
139959,2002,4282,2570,1712,2155,713,1442,56.11
140447,2002,687,387,300,275,93,182,47.03
140960,2002,496,269,227,52,7,45,16.73
140988,2002,218,144,74,80,23,57,39.58
