unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2001,1038,541,497,138,34,104,19.22
100663,2001,1224,765,459,175,57,118,15.42
100751,2001,2384,1342,1042,920,313,607,45.23
100858,2001,3739,1949,1790,1284,468,816,41.87
101435,2001,146,96,50,58,13,45,46.88
101480,2001,877,480,397,146,40,106,22.08
101675,2001,423,213,210,29,9,20,9.39
101879,2001,816,465,351,147,36,111,23.87
102049,2001,658,434,224,354,109,245,56.45
102094,2001,1116,634,482,160,40,120,18.93
102234,2001,251,137,114,112,39,73,53.28
102368,2001,1054,572,482,211,71,140,24.48
102377,2001,645,375,270,108,41,67,17.87
104151,2001,5950,3157,2793,1649,599,1050,33.26
104179,2001,5727,3005,2722,1871,717,1154,38.4
105330,2001,2146,1299,847,609,169,440,33.87
106245,2001,703,410,293,57,19,38,9.27
106342,2001,129,80,49,68,20,48,60
106397,2001,2190,1126,1064,718,290,428,38.01
106412,2001,700,371,329,97,21,76,20.49
106458,2001,1594,921,673,309,86,223,24.21
106467,2001,1202,564,638,235,108,127,22.52
106485,2001,654,382,272,51,15,36,9.42
106704,2001,1668,1028,640,367,102,265,25.78
107044,2001,979,547,432,365,145,220,40.22
107080,2001,279,164,115,157,49,108,65.85
107141,2001,241,149,92,132,50,82,55.03
107512,2001,400,214,186,183,73,110,51.4
107558,2001,190,116,74,61,22,39,33.62
110097,2001,649,426,223,360,113,247,57.98
110404,2001,214,78,136,175,110,65,83.33
110422,2001,2957,1374,1583,629,220,409,29.77
110486,2001,610,393,217,86,20,66,16.79
110495,2001,516,352,164,96,24,72,20.45
110510,2001,1273,774,499,127,36,91,11.76
110529,2001,2412,961,1451,229,91,138,14.36
110538,2001,2092,1175,917,314,64,250,21.28
110547,2001,561,391,170,26,6,20,5.12
110556,2001,1946,1179,767,275,74,201,17.05
110565,2001,2772,1673,1099,416,86,330,19.73
110574,2001,692,435,257,75,17,58,13.33
110583,2001,4324,2751,1573,420,117,303,11.01
110592,2001,1223,767,456,117,26,91,11.86
110617,2001,2278,1387,891,221,49,172,12.4
113698,2001,127,90,37,51,13,38,42.22
115755,2001,725,416,309,81,18,63,15.14
119173,2001,328,325,3,47,1,46,14.15
120184,2001,111,85,26,55,10,45,52.94
121309,2001,545,346,199,327,106,221,63.87
121345,2001,393,192,201,339,173,166,86.46
122409,2001,3338,1986,1352,664,178,486,24.47
122436,2001,1003,646,357,635,217,418,64.71
122597,2001,1820,1157,663,209,58,151,13.05
122612,2001,840,572,268,411,114,297,51.92
122931,2001,1017,556,461,799,339,460,82.73
123554,2001,580,352,228,350,129,221,62.78
123572,2001,1018,673,345,258,53,205,30.46
126562,2001,492,288,204,63,27,36,12.5
126580,2001,785,453,332,171,54,117,25.83
126614,2001,4962,2396,2566,2013,887,1126,46.99
126818,2001,3683,2061,1622,1285,420,865,41.97
127060,2001,933,486,447,561,249,312,64.2
127185,2001,1047,469,578,139,50,89,18.98
127565,2001,1596,816,780,97,42,55,6.74
127741,2001,2108,1309,799,623,140,483,36.9
128106,2001,634,343,291,115,47,68,19.83
128744,2001,175,97,78,49,17,32,32.99
128771,2001,1261,623,638,169,74,95,15.25
129020,2001,3122,1648,1474,1671,682,989,60.01
129242,2001,831,463,368,646,265,381,82.29
129941,2001,503,202,301,123,54,69,34.16
130253,2001,766,465,301,457,172,285,61.29
130314,2001,165,165,0,75,0,75,45.45
130493,2001,1429,858,571,134,37,97,11.31
130590,2001,491,239,252,388,184,204,85.36
130697,2001,722,372,350,606,280,326,87.63
130776,2001,841,439,402,111,36,75,17.08
130794,2001,1293,648,645,1125,538,587,90.59
130934,2001,686,385,301,107,30,77,20
130943,2001,3362,1944,1418,2147,767,1380,70.99
131159,2001,1387,875,512,924,330,594,67.89
131283,2001,613,342,271,407,170,237,69.3
131450,2001,213,113,100,10,3,7,6.19
131469,2001,2566,1433,1133,1864,761,1103,76.97
131496,2001,1482,757,725,1339,648,691,91.28
131520,2001,1344,900,444,680,185,495,55
132471,2001,431,264,167,101,32,69,26.14
132602,2001,720,386,334,91,31,60,15.54
132903,2001,4913,2621,2292,1529,529,1000,38.15
133492,2001,424,241,183,225,83,142,58.92
133553,2001,1013,159,854,338,277,61,38.36
133650,2001,2243,1300,943,368,88,280,21.54
133669,2001,1937,1120,817,292,85,207,18.48
133711,2001,407,253,154,185,59,126,49.8
133881,2001,544,153,391,203,128,75,49.02
133951,2001,2457,1364,1093,527,145,382,28.01
134079,2001,515,323,192,205,66,139,43.03
134097,2001,5681,3318,2363,2702,928,1774,53.47
134130,2001,6178,3348,2830,3304,1208,2096,62.6
134945,2001,428,186,242,219,140,79,42.47
135726,2001,2152,1277,875,1349,503,846,66.25
136172,2001,1672,979,693,392,126,266,27.17
136950,2001,473,300,173,278,90,188,62.67
137546,2001,527,298,229,289,117,172,57.72
138354,2001,695,406,289,167,59,108,26.6
138716,2001,420,266,154,79,17,62,23.31
138789,2001,551,328,223,39,7,32,9.76
139144,2001,536,357,179,262,74,188,52.66
139366,2001,761,468,293,84,20,64,13.68
139393,2001,238,151,87,120,41,79,52.32
139658,2001,1547,817,730,1013,486,527,64.5
139719,2001,425,225,200,60,16,44,19.56
139755,2001,2223,634,1589,736,441,295,46.53
139764,2001,266,173,93,31,8,23,13.29
139861,2001,879,556,323,203,52,151,27.16
139931,2001,2632,1278,1354,435,110,325,25.43
139940,2001,2136,1305,831,357,99,258,19.77
139959,2001,4459,2646,1813,2137,677,1460,55.18
140447,2001,767,472,295,257,73,184,38.98
140960,2001,440,238,202,58,13,45,18.91
140988,2001,258,186,72,92,20,72,38.71
141185,2001,198,124,74,71,25,46,37.1
141264,2001,1534,937,597,266,67,199,21.24
141334,2001,1551,931,620,194,34,160,17.19
141486,2001,223,160,63,39,11,28,17.5
141565,2001,400,231,169,53,17,36,15.58
141574,2001,1521,883,638,224,61,163,18.46
142276,2001,1485,783,702,53,9,44,5.62
142285,2001,1642,791,851,340,122,218,27.56
142461,2001,265,150,115,83,31,52,34.67
143084,2001,550,310,240,392,167,225,72.58
143288,2001,162,95,67,60,18,42,44.21
144005,2001,395,280,115,16,3,13,4.64
144281,2001,1448,767,681,353,157,196,25.55
144740,2001,2042,1180,862,866,325,541,45.85
144892,2001,1431,836,595,445,135,310,37.08
144962,2001,302,169,133,153,47,106,62.72
144971,2001,146,75,71,60,26,34,45.33
145600,2001,2637,1470,1167,590,210,380,25.85
145619,2001,262,159,103,120,41,79,49.69
145637,2001,6234,3008,3226,3886,1789,2097,69.71
145691,2001,205,113,92,94,37,57,50.44
145813,2001,3331,2080,1251,1316,364,952,45.77
146481,2001,336,188,148,214,83,131,69.68
146612,2001,384,191,193,126,52,74,38.74
146719,2001,1424,960,464,674,202,472,49.17
146825,2001,144,65,79,37,14,23,35.38
147013,2001,284,168,116,128,35,93,55.36
147244,2001,646,356,290,349,139,210,58.99
147341,2001,258,122,136,128,67,61,50
147703,2001,2792,1459,1333,725,281,444,30.43
147767,2001,1947,1026,921,1682,769,913,88.99
147776,2001,964,622,342,21,7,14,2.25
147828,2001,541,297,244,240,90,150,50.51
148131,2001,231,119,112,83,32,51,42.86
148496,2001,222,139,83,111,34,77,55.4
148584,2001,177,112,65,72,21,51,45.54
148627,2001,353,208,145,88,31,57,27.4
149222,2001,2153,967,1186,501,220,281,29.06
149231,2001,1573,895,678,332,108,224,25.03
149772,2001,1677,836,841,557,245,312,37.32
149781,2001,572,276,296,416,200,216,78.26
150066,2001,462,272,190,170,45,125,45.96
150136,2001,3743,2039,1704,1066,344,722,35.41
150145,2001,258,161,97,110,34,76,47.2
150163,2001,929,593,336,512,168,344,58.01
150400,2001,620,350,270,481,205,276,78.86
150534,2001,511,310,201,226,93,133,42.9
150668,2001,172,94,78,87,33,54,57.45
150941,2001,220,135,85,117,43,74,54.81
151102,2001,1426,735,691,69,30,39,5.31
151111,2001,2275,1325,950,188,71,117,8.83
151306,2001,1897,1135,762,236,64,172,15.15
