unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2008,1044,568,476,115,23,92,16.2
100663,2008,1246,710,536,406,140,266,37.46
100751,2008,5009,2776,2233,1942,703,1239,44.63
100858,2008,3967,2049,1918,1676,627,1049,51.2
101435,2008,253,106,147,76,28,48,45.28
101480,2008,1243,663,580,108,31,77,11.61
101675,2008,461,213,248,38,5,33,15.49
101879,2008,988,533,455,119,34,85,15.95
102049,2008,705,442,263,336,104,232,52.49
102094,2008,1543,875,668,230,68,162,18.51
102234,2008,344,213,131,175,62,113,53.05
102368,2008,1827,1081,746,246,76,170,15.73
102377,2008,722,414,308,154,44,110,26.57
104151,2008,6743,3320,3423,2886,1224,1662,50.06
104179,2008,6331,3377,2954,2536,1017,1519,44.98
105330,2008,3248,1899,1349,1078,316,762,40.13
106245,2008,618,375,243,50,23,27,7.2
106342,2008,102,52,50,50,25,25,48.08
106397,2008,2977,1488,1489,1108,475,633,42.54
106412,2008,952,504,448,93,21,72,14.29
106458,2008,1743,981,762,352,129,223,22.73
106467,2008,1450,763,687,305,115,190,24.9
106485,2008,661,361,300,89,33,56,15.51
106704,2008,2075,1165,910,444,157,287,24.64
107044,2008,980,537,443,425,158,267,49.72
107080,2008,430,238,192,284,122,162,68.07
107141,2008,307,165,142,160,72,88,53.33
107512,2008,404,220,184,205,80,125,56.82
107558,2008,195,113,82,72,27,45,39.82
110097,2008,846,530,316,430,157,273,51.51
110404,2008,236,97,139,200,112,88,90.72
110422,2008,3448,1553,1895,1246,458,788,50.74
110486,2008,901,592,309,144,45,99,16.72
110495,2008,899,576,323,133,33,100,17.36
110510,2008,1916,1213,703,241,77,164,13.52
110529,2008,2538,1068,1470,299,135,164,15.36
110538,2008,2727,1420,1307,537,163,374,26.34
110547,2008,889,599,290,42,14,28,4.67
110556,2008,2731,1604,1127,402,121,281,17.52
110565,2008,4519,2673,1846,630,180,450,16.84
110574,2008,1356,828,528,141,45,96,11.59
110583,2008,4536,2856,1680,676,183,493,17.26
110592,2008,1676,1014,662,105,40,65,6.41
110617,2008,2536,1493,1043,191,50,141,9.44
113698,2008,267,202,65,146,31,115,56.93
115755,2008,1168,661,507,147,37,110,16.64
119173,2008,313,302,11,84,2,82,27.15
120184,2008,147,85,62,63,21,42,49.41
121309,2008,538,327,211,318,116,202,61.77
121345,2008,382,194,188,344,168,176,90.72
122409,2008,3578,2086,1492,1053,346,707,33.89
122436,2008,1259,771,488,838,289,549,71.21
122597,2008,3512,2334,1178,524,145,379,16.24
122612,2008,1036,686,350,632,196,436,63.56
122931,2008,1220,623,597,951,436,515,82.66
123554,2008,665,436,229,349,100,249,57.11
123572,2008,1631,1058,573,444,96,348,32.89
126562,2008,1036,603,433,156,68,88,14.59
126580,2008,1075,577,498,288,110,178,30.85
126614,2008,5811,2890,2921,2678,1158,1520,52.6
126818,2008,4386,2435,1951,1693,567,1126,46.24
127060,2008,1131,633,498,743,317,426,67.3
127185,2008,758,355,403,136,62,74,20.85
127565,2008,1918,969,949,88,33,55,5.68
127741,2008,2071,1227,844,558,156,402,32.76
128106,2008,1002,465,537,160,65,95,20.43
128744,2008,444,266,178,90,30,60,22.56
128771,2008,1297,578,719,279,133,146,25.26
129020,2008,3587,1780,1807,2382,1098,1284,72.13
129242,2008,898,537,361,688,257,431,80.26
129941,2008,1129,569,560,430,175,255,44.82
130253,2008,981,577,404,583,201,382,66.2
130314,2008,225,225,0,92,0,92,40.89
130493,2008,1288,858,430,293,77,216,25.17
130590,2008,589,300,289,464,214,250,83.33
130697,2008,715,355,360,622,300,322,90.7
130776,2008,928,462,466,180,82,98,21.21
130794,2008,1316,664,652,1150,543,607,91.42
130934,2008,721,455,266,154,36,118,25.93
130943,2008,3834,2211,1623,2378,891,1487,67.25
131159,2008,1570,967,603,1199,442,757,78.28
131283,2008,901,475,426,537,234,303,63.79
131450,2008,179,97,82,29,9,20,20.62
131469,2008,2449,1408,1041,1755,687,1068,75.85
131496,2008,1571,822,749,1430,665,765,93.07
131520,2008,1477,1004,473,629,133,496,49.4
132471,2008,584,400,184,120,34,86,21.5
132602,2008,719,478,241,198,38,160,33.47
132903,2008,6139,3283,2856,2464,867,1597,48.64
133492,2008,487,285,202,283,116,167,58.6
