unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1997,789,412,377,159,41,118,28.64
100663,1997,1115,657,458,161,52,109,16.59
100751,1997,2572,1403,1169,859,307,552,39.34
100858,1997,3140,1676,1464,1165,385,780,46.54
101435,1997,191,114,77,89,28,61,53.51
101480,1997,764,401,363,123,43,80,19.95
101675,1997,374,169,205,3,2,1,0.59
101879,1997,751,448,303,111,20,91,20.31
102049,1997,745,470,275,405,139,266,56.6
102094,1997,1132,663,469,138,38,100,15.08
102234,1997,254,144,110,118,55,63,43.75
102368,1997,803,474,329,307,109,198,41.77
102377,1997,713,466,247,179,29,150,32.19
104151,1997,4938,2646,2292,1284,448,836,31.59
104179,1997,4431,2409,2022,1294,463,831,34.5
105330,1997,1983,1169,814,530,154,376,32.16
106245,1997,841,503,338,46,13,33,6.56
106342,1997,125,63,62,54,19,35,55.56
106397,1997,2125,1077,1048,515,191,324,30.08
106412,1997,608,297,311,51,12,39,13.13
106458,1997,1687,922,765,249,89,160,17.35
106467,1997,725,376,349,83,32,51,13.56
106485,1997,620,342,278,47,8,39,11.4
106704,1997,1598,1031,567,284,55,229,22.21
107044,1997,863,495,368,271,85,186,37.58
107080,1997,329,193,136,184,76,108,55.96
107141,1997,225,121,104,83,37,46,38.02
107512,1997,404,230,174,164,59,105,45.65
107558,1997,155,66,89,44,21,23,34.85
110097,1997,437,296,141,204,60,144,48.65
110404,1997,217,64,153,169,119,50,78.12
110422,1997,2114,951,1163,318,108,210,22.08
110486,1997,467,288,179,49,15,34,11.81
110495,1997,409,270,139,84,19,65,24.07
110510,1997,890,559,331,83,26,57,10.2
110529,1997,1856,810,1046,157,56,101,12.47
110538,1997,1618,948,670,246,45,201,21.2
110547,1997,512,363,149,17,2,15,4.13
110556,1997,1510,901,609,180,69,111,12.32
110565,1997,2192,1317,875,215,48,167,12.68
110574,1997,711,451,260,94,26,68,15.08
110583,1997,2498,1597,901,205,60,145,9.08
110592,1997,1274,828,446,82,17,65,7.85
110617,1997,1350,777,573,95,31,64,8.24
113698,1997,74,55,19,24,5,19,34.55
115755,1997,718,401,317,85,14,71,17.71
119173,1997,258,258,0,82,0,82,31.78
120184,1997,129,79,50,38,15,23,29.11
121309,1997,494,306,188,187,64,123,40.2
121345,1997,393,195,198,338,166,172,88.21
122409,1997,3008,1766,1242,280,73,207,11.72
122436,1997,1036,630,406,589,194,395,62.7
122597,1997,1732,1086,646,115,36,79,7.27
122612,1997,600,385,215,285,96,189,49.09
122931,1997,1004,543,461,766,328,438,80.66
123554,1997,596,348,248,390,144,246,70.69
123572,1997,872,581,291,192,43,149,25.65
126562,1997,439,245,194,63,23,40,16.33
126580,1997,519,298,221,83,27,56,18.79
126614,1997,4259,2157,2102,1565,633,932,43.21
126818,1997,2615,1435,1180,861,304,557,38.82
127060,1997,689,354,335,387,173,214,60.45
127185,1997,1056,450,606,97,39,58,12.89
127565,1997,1478,787,691,69,19,50,6.35
127741,1997,1905,1147,758,490,107,383,33.39
128106,1997,580,299,281,49,20,29,9.7
128744,1997,187,93,94,58,24,34,36.56
128771,1997,1213,626,587,82,36,46,7.35
129020,1997,2172,1181,991,977,340,637,53.94
129242,1997,876,462,414,649,286,363,78.57
129941,1997,324,130,194,87,46,41,31.54
130253,1997,632,377,255,297,113,184,48.81
130314,1997,174,174,0,87,0,87,50
130493,1997,1089,624,465,146,39,107,17.15
130590,1997,500,220,280,386,205,181,82.27
130697,1997,700,371,329,583,263,320,86.25
130776,1997,668,303,365,90,35,55,18.15
130794,1997,1307,662,645,1170,552,618,93.35
130934,1997,637,359,278,121,35,86,23.96
130943,1997,3179,1881,1298,1823,622,1201,63.85
131159,1997,1056,665,391,678,239,439,66.02
131283,1997,567,313,254,337,148,189,60.38
131450,1997,211,116,95,10,3,7,6.03
131469,1997,1716,972,744,1185,485,700,72.02
131496,1997,1394,757,637,1247,561,686,90.62
131520,1997,1098,715,383,402,98,304,42.52
132471,1997,176,112,64,58,18,40,35.71
132602,1997,749,388,361,77,25,52,13.4
132903,1997,2839,1510,1329,785,265,520,34.44
133492,1997,386,230,156,230,88,142,61.74
133553,1997,1020,136,884,213,184,29,21.32
133650,1997,1947,1148,799,328,84,244,21.25
133669,1997,1174,669,505,161,54,107,15.99
133711,1997,424,272,152,176,55,121,44.49
133881,1997,367,112,255,128,84,44,39.29
133951,1997,1987,1144,843,352,91,261,22.81
134079,1997,428,270,158,196,67,129,47.78
134097,1997,4491,2525,1966,1822,606,1216,48.16
134130,1997,5959,3307,2652,2950,1073,1877,56.76
134945,1997,290,125,165,65,19,46,36.8
135726,1997,1814,960,854,962,421,541,56.35
136172,1997,1105,646,459,269,77,192,29.72
136950,1997,415,253,162,192,65,127,50.2
137546,1997,504,289,215,283,104,179,61.94
138354,1997,620,372,248,101,28,73,19.62
138716,1997,575,359,216,35,9,26,7.24
138789,1997,690,470,220,50,7,43,9.15
139144,1997,504,332,172,295,99,196,59.04
139366,1997,612,354,258,53,14,39,11.02
139393,1997,197,112,85,89,31,58,51.79
139658,1997,1477,762,715,1120,525,595,78.08
139719,1997,502,270,232,75,19,56,20.74
139755,1997,2069,565,1504,487,305,182,32.21
139764,1997,449,283,166,85,29,56,19.79
139861,1997,818,528,290,130,31,99,18.75
139931,1997,2596,1387,1209,306,81,225,16.22
139940,1997,1906,1172,734,211,60,151,12.88
139959,1997,4348,2544,1804,1729,569,1160,45.6
140447,1997,679,428,251,215,70,145,33.88
140960,1997,455,240,215,19,4,15,6.25
140988,1997,242,162,80,90,26,64,39.51
141185,1997,263,157,106,79,29,50,31.85
141264,1997,1594,947,647,179,50,129,13.62
141334,1997,1208,718,490,135,29,106,14.76
141486,1997,146,105,41,30,9,21,20
141565,1997,335,202,133,36,11,25,12.38
141574,1997,1439,807,632,174,50,124,15.37
142276,1997,1400,793,607,44,11,33,4.16
142285,1997,1360,687,673,240,82,158,23
142461,1997,277,148,129,91,37,54,36.49
143084,1997,564,328,236,400,146,254,77.44
143288,1997,155,81,74,39,11,28,34.57
144005,1997,487,332,155,6,1,5,1.51
144281,1997,1078,519,559,147,61,86,16.57
144740,1997,1211,713,498,566,212,354,49.65
