unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2005,1088,572,516,116,27,89,15.56
100663,2005,1515,895,620,350,110,240,26.82
100751,2005,3642,2038,1604,1373,491,882,43.28
100858,2005,4179,2180,1999,1491,511,980,44.95
101435,2005,185,90,95,78,34,44,48.89
101480,2005,1120,595,525,120,37,83,13.95
101675,2005,389,177,212,25,4,21,11.86
101879,2005,982,526,456,2,1,1,0.19
102049,2005,699,457,242,358,93,265,57.99
102094,2005,1198,689,509,199,62,137,19.88
102234,2005,274,173,101,139,49,90,52.02
102368,2005,1434,789,645,201,64,137,17.36
102377,2005,730,385,345,112,30,82,21.3
104151,2005,7927,4267,3660,2561,996,1565,36.68
104179,2005,5785,3115,2670,2104,820,1284,41.22
105330,2005,2101,1268,833,645,174,471,37.15
106245,2005,762,445,317,64,24,40,8.99
106342,2005,111,61,50,45,20,25,40.98
106397,2005,2662,1324,1338,913,375,538,40.63
106412,2005,714,349,365,74,24,50,14.33
106458,2005,1483,826,657,288,108,180,21.79
106467,2005,1457,714,743,253,104,149,20.87
106485,2005,625,337,288,55,20,35,10.39
106704,2005,2429,1376,1053,467,136,331,24.06
107044,2005,955,527,428,396,132,264,50.09
107080,2005,280,156,124,179,73,106,67.95
107141,2005,262,132,130,143,71,72,54.55
107512,2005,365,213,152,181,66,115,53.99
107558,2005,168,89,79,48,19,29,32.58
110097,2005,670,416,254,337,111,226,54.33
110404,2005,233,69,164,178,127,51,73.91
110422,2005,3318,1599,1719,1021,345,676,42.28
110486,2005,766,503,263,114,21,93,18.49
110495,2005,741,511,230,151,31,120,23.48
110510,2005,1645,1092,553,212,75,137,12.55
110529,2005,3089,1296,1793,380,157,223,17.21
110538,2005,2300,1237,1063,439,118,321,25.95
110547,2005,705,476,229,42,9,33,6.93
110556,2005,2356,1403,953,323,106,217,15.47
110565,2005,3816,2241,1575,524,134,390,17.4
110574,2005,686,414,272,110,39,71,17.15
110583,2005,4241,2666,1575,524,153,371,13.92
110592,2005,1253,823,430,111,31,80,9.72
110617,2005,2436,1483,953,256,73,183,12.34
113698,2005,227,168,59,98,22,76,45.24
115755,2005,813,461,352,99,32,67,14.53
119173,2005,393,378,15,68,3,65,17.2
120184,2005,144,95,49,59,14,45,47.37
121309,2005,562,339,223,348,125,223,65.78
121345,2005,382,193,189,347,169,178,92.23
122409,2005,3439,2039,1400,1011,323,688,33.74
122436,2005,1131,710,421,726,238,488,68.73
122597,2005,2999,1942,1057,360,105,255,13.13
122612,2005,932,665,267,542,131,411,61.8
122931,2005,1197,667,530,917,384,533,79.91
123554,2005,659,399,260,313,107,206,51.63
123572,2005,1043,697,346,309,69,240,34.43
126562,2005,744,414,330,108,30,78,18.84
126580,2005,947,595,352,210,50,160,26.89
126614,2005,5007,2364,2643,2007,900,1107,46.83
126818,2005,3622,2036,1586,1278,406,872,42.83
127060,2005,1089,608,481,655,251,404,66.45
127185,2005,860,386,474,161,70,91,23.58
127565,2005,1840,939,901,79,32,47,5.01
127741,2005,2483,1479,1004,620,173,447,30.22
128106,2005,665,361,304,125,54,71,19.67
128744,2005,352,212,140,64,20,44,20.75
128771,2005,1333,663,670,188,82,106,15.99
129020,2005,3239,1789,1450,2176,881,1295,72.39
129242,2005,940,551,389,744,297,447,81.13
129941,2005,653,322,331,256,117,139,43.17
130253,2005,886,542,344,544,186,358,66.05
130314,2005,206,206,0,88,0,88,42.72
130493,2005,1313,866,447,192,43,149,17.21
130590,2005,573,289,284,469,221,248,85.81
130697,2005,705,360,345,614,305,309,85.83
130776,2005,773,396,377,124,52,72,18.18
130794,2005,1320,651,669,1172,574,598,91.86
130934,2005,885,514,371,164,40,124,24.12
130943,2005,3830,2252,1578,2250,803,1447,64.25
131159,2005,1216,778,438,898,319,579,74.42
131283,2005,786,455,331,482,187,295,64.84
131450,2005,280,151,129,28,7,21,13.91
131469,2005,2408,1375,1033,1823,732,1091,79.35
131496,2005,1530,774,756,1378,669,709,91.6
131520,2005,1410,944,466,635,166,469,49.68
132471,2005,563,356,207,117,35,82,23.03
132602,2005,913,525,388,140,52,88,16.76
132903,2005,6041,3216,2825,2025,720,1305,40.58
133492,2005,501,297,204,275,102,173,58.25
133553,2005,975,152,823,307,246,61,40.13
133650,2005,1636,925,711,183,61,122,13.19
133669,2005,2080,1111,969,363,126,237,21.33
133711,2005,459,283,176,216,77,139,49.12
133881,2005,603,154,449,242,172,70,45.45
133951,2005,3967,2261,1706,634,188,446,19.73
134079,2005,462,274,188,190,60,130,47.45
134097,2005,6052,3554,2498,2995,1066,1929,54.28
134130,2005,7217,4080,3137,4230,1533,2697,66.1
134945,2005,544,252,292,127,59,68,26.98
135726,2005,2258,1168,1090,1480,670,810,69.35
136172,2005,2288,1296,992,518,179,339,26.16
136950,2005,463,275,188,284,105,179,65.09
137546,2005,547,312,235,308,135,173,55.45
138354,2005,830,490,340,194,65,129,26.33
138716,2005,596,388,208,93,16,77,19.85
138789,2005,700,453,247,70,14,56,12.36
139144,2005,513,316,197,226,65,161,50.95
139366,2005,1067,641,426,129,33,96,14.98
139393,2005,270,138,132,122,48,74,53.62
139658,2005,1631,933,698,1032,450,582,62.38
139719,2005,317,169,148,48,11,37,21.89
139755,2005,2415,714,1701,756,431,325,45.52
139764,2005,358,200,158,36,9,27,13.5
139861,2005,1032,631,401,342,101,241,38.19
139931,2005,3123,1472,1651,623,195,428,29.08
139940,2005,2325,1322,1003,408,164,244,18.46
139959,2005,4654,2812,1842,2505,845,1660,59.03
140447,2005,666,408,258,267,86,181,44.36
140960,2005,806,427,379,73,16,57,13.35
140988,2005,291,133,158,101,40,61,45.86
141185,2005,223,135,88,84,27,57,42.22
141264,2005,1775,1072,703,299,69,230,21.46
141334,2005,1640,966,674,212,47,165,17.08
141486,2005,260,182,78,57,12,45,24.73
141565,2005,409,215,194,50,15,35,16.28
141574,2005,1923,1060,863,354,128,226,21.32
142276,2005,909,519,390,74,22,52,10.02
142285,2005,1673,823,850,386,156,230,27.95
142461,2005,249,168,81,88,24,64,38.1
143084,2005,679,383,296,474,193,281,73.37
143288,2005,183,92,91,66,30,36,39.13
144005,2005,405,268,137,15,4,11,4.1
144281,2005,1795,933,862,504,219,285,30.55
144740,2005,2392,1411,981,1168,450,718,50.89
144892,2005,1645,967,678,521,168,353,36.5
144962,2005,466,282,184,252,84,168,59.57
144971,2005,138,74,64,66,29,37,50
145600,2005,2759,1534,1225,742,294,448,29.2
145619,2005,308,163,145,97,42,55,33.74
145637,2005,7565,3511,4054,4966,2375,2591,73.8
145691,2005,256,117,139,124,60,64,54.7
145813,2005,3167,1970,1197,1388,419,969,49.19
146481,2005,358,202,156,213,78,135,66.83
146612,2005,557,321,236,232,92,140,43.61
146719,2005,2080,1365,715,1053,346,707,51.79
146825,2005,159,77,82,35,10,25,32.47
147013,2005,273,126,147,94,39,55,43.65
147244,2005,572,313,259,311,119,192,61.34
147341,2005,367,180,187,140,50,90,50
147703,2005,3171,1637,1534,826,360,466,28.47
147767,2005,1952,1018,934,1669,756,913,89.69
147776,2005,960,570,390,51,16,35,6.14
147828,2005,669,404,265,294,94,200,49.5
148131,2005,202,99,103,69,28,41,41.41
148496,2005,266,178,88,147,46,101,56.74
148584,2005,190,116,74,85,27,58,50
148627,2005,410,236,174,133,50,83,35.17
149222,2005,2382,1034,1348,560,261,299,28.92
149231,2005,1721,994,727,487,166,321,32.29
149772,2005,1802,885,917,549,265,284,32.09
149781,2005,578,287,291,458,220,238,82.93
150066,2005,565,348,217,272,93,179,51.44
150136,2005,3660,1892,1768,1063,367,696,36.79
150145,2005,310,207,103,122,41,81,39.13
150163,2005,864,536,328,391,119,272,50.75
150400,2005,586,337,249,470,197,273,81.01
150534,2005,670,416,254,337,105,232,55.77
150668,2005,194,108,86,113,44,69,63.89
150941,2005,232,133,99,113,45,68,51.13
151102,2005,1534,850,684,82,31,51,6
151111,2005,2396,1414,982,234,88,146,10.33
151306,2005,2042,1195,847,306,90,216,18.08
151324,2005,1622,810,812,311,122,189,23.33
151333,2005,382,251,131,31,6,25,9.96
151342,2005,805,466,339,34,16,18,3.86
151351,2005,6903,3785,3118,3425,1383,2042,53.95
151360,2005,471,280,191,33,19,14,5
151379,2005,664,409,255,53,12,41,10.02
151388,2005,284,179,105,13,2,11,6.15
151777,2005,329,170,159,140,50,90,52.94
151786,2005,189,127,62,64,17,47,37.01
152080,2005,1990,935,1055,1800,942,858,91.76
152248,2005,1093,599,494,57,23,34,5.68
152363,2005,266,145,121,128,41,87,60
152530,2005,459,271,188,342,142,200,73.8
152600,2005,672,332,340,421,183,238,71.69
