unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1998,995,518,477,182,38,144,27.8
100663,1998,1076,646,430,164,48,116,17.96
100751,1998,2597,1437,1160,857,269,588,40.92
100858,1998,3654,1913,1741,1229,415,814,42.55
101435,1998,175,96,79,88,31,57,59.38
101480,1998,752,392,360,112,34,78,19.9
101675,1998,340,177,163,133,51,82,46.33
101879,1998,828,490,338,118,28,90,18.37
102049,1998,625,390,235,316,110,206,52.82
102094,1998,1044,618,426,143,36,107,17.31
102234,1998,242,119,123,120,61,59,49.58
102368,1998,768,437,331,251,75,176,40.27
102377,1998,683,412,271,154,37,117,28.4
104151,1998,4753,2561,2192,1270,480,790,30.85
104179,1998,5088,2773,2315,1595,590,1005,36.24
105330,1998,2073,1188,885,554,176,378,31.82
106245,1998,865,539,326,93,22,71,13.17
106342,1998,107,65,42,56,21,35,53.85
106397,1998,2456,1245,1211,665,246,419,33.65
106412,1998,721,372,349,70,22,48,12.9
106458,1998,1705,928,777,270,68,202,21.77
106467,1998,821,401,420,105,41,64,15.96
106485,1998,558,292,266,52,18,34,11.64
106704,1998,1575,944,631,249,58,191,20.23
107044,1998,908,535,373,285,101,184,34.39
107080,1998,320,166,154,196,89,107,64.46
107141,1998,250,138,112,112,44,68,49.28
107512,1998,362,220,142,120,36,84,38.18
107558,1998,137,69,68,43,18,25,36.23
110097,1998,469,313,156,227,75,152,48.56
110404,1998,254,79,175,195,136,59,74.68
110422,1998,2260,945,1315,367,136,231,24.44
110486,1998,471,298,173,54,9,45,15.1
110495,1998,444,297,147,84,16,68,22.9
110510,1998,1068,680,388,124,39,85,12.5
110529,1998,2033,855,1178,191,80,111,12.98
110538,1998,1850,1069,781,299,65,234,21.89
110547,1998,465,330,135,21,3,18,5.45
110556,1998,1566,933,633,215,44,171,18.33
110565,1998,2146,1240,906,274,65,209,16.85
110574,1998,732,470,262,106,24,82,17.45
110583,1998,2652,1707,945,285,61,224,13.12
110592,1998,1255,789,466,103,22,81,10.27
110617,1998,1467,828,639,136,30,106,12.8
113698,1998,72,58,14,30,6,24,41.38
115755,1998,731,405,326,71,24,47,11.6
119173,1998,295,293,2,62,0,62,21.16
120184,1998,130,80,50,52,14,38,47.5
121309,1998,598,375,223,261,87,174,46.4
121345,1998,396,182,214,321,168,153,84.07
122409,1998,3128,1815,1313,308,79,229,12.62
122436,1998,1028,614,414,610,222,388,63.19
122597,1998,1805,1143,662,134,23,111,9.71
122612,1998,640,436,204,296,80,216,49.54
122931,1998,1032,570,462,783,331,452,79.3
123554,1998,573,343,230,352,125,227,66.18
123572,1998,823,557,266,177,37,140,25.13
126562,1998,394,223,171,58,17,41,18.39
126580,1998,635,372,263,154,53,101,27.15
126614,1998,4263,2037,2226,1545,647,898,44.08
126818,1998,3028,1772,1256,1028,301,727,41.03
127060,1998,768,393,375,414,185,229,58.27
127185,1998,970,405,565,108,46,62,15.31
127565,1998,1382,759,623,81,29,52,6.85
127741,1998,2165,1314,851,515,123,392,29.83
128106,1998,611,345,266,80,30,50,14.49
128744,1998,233,94,139,80,48,32,34.04
128771,1998,1317,675,642,163,46,117,17.33
129020,1998,2536,1358,1178,1135,431,704,51.84
129242,1998,875,478,397,679,299,380,79.5
129941,1998,370,141,229,95,51,44,31.21
130253,1998,702,409,293,308,112,196,47.92
130314,1998,142,142,0,66,0,66,46.48
130493,1998,1077,647,430,140,24,116,17.93
130590,1998,509,263,246,390,176,214,81.37
130697,1998,716,382,334,593,264,329,86.13
130776,1998,655,315,340,91,33,58,18.41
130794,1998,1295,646,649,1146,573,573,88.7
130934,1998,578,339,239,118,39,79,23.3
130943,1998,3545,2149,1396,2078,696,1382,64.31
131159,1998,1232,774,458,802,262,540,69.77
131283,1998,597,338,259,378,149,229,67.75
131450,1998,230,112,118,17,7,10,8.93
131469,1998,1773,1057,716,1285,471,814,77.01
131496,1998,1470,810,660,1302,581,721,89.01
131520,1998,1244,831,413,469,103,366,44.04
132471,1998,393,249,144,82,20,62,24.9
132602,1998,623,316,307,97,24,73,23.1
132903,1998,3792,1932,1860,1097,387,710,36.75
