unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1999,1111,550,561,97,16,81,14.73
100663,1999,1143,678,465,163,59,104,15.34
100751,1999,2687,1499,1188,948,309,639,42.63
100858,1999,3693,1875,1818,1189,393,796,42.45
101435,1999,163,103,60,58,14,44,42.72
101480,1999,805,455,350,142,44,98,21.54
101675,1999,319,170,149,113,21,92,54.12
101879,1999,809,473,336,127,28,99,20.93
102049,1999,674,420,254,353,120,233,55.48
102094,1999,882,521,361,122,22,100,19.19
102234,1999,299,182,117,147,43,104,57.14
102368,1999,845,510,335,271,85,186,36.47
102377,1999,679,400,279,119,27,92,23
104151,1999,5625,3096,2529,1505,522,983,31.75
104179,1999,5126,2745,2381,1626,623,1003,36.54
105330,1999,2162,1278,884,562,166,396,30.99
106245,1999,826,518,308,51,12,39,7.53
106342,1999,141,79,62,82,33,49,62.03
106397,1999,2189,1123,1066,666,235,431,38.38
106412,1999,656,341,315,76,20,56,16.42
106458,1999,1654,937,717,303,92,211,22.52
106467,1999,1055,508,547,146,55,91,17.91
106485,1999,685,370,315,53,15,38,10.27
106704,1999,1729,1030,699,272,86,186,18.06
107044,1999,941,488,453,313,130,183,37.5
107080,1999,330,181,149,183,74,109,60.22
107141,1999,267,149,118,113,39,74,49.66
107512,1999,443,256,187,197,72,125,48.83
107558,1999,164,93,71,53,17,36,38.71
110097,1999,563,373,190,370,123,247,66.22
110404,1999,234,83,151,195,126,69,83.13
110422,1999,2673,1277,1396,557,167,390,30.54
110486,1999,517,319,198,69,14,55,17.24
110495,1999,470,310,160,101,16,85,27.42
110510,1999,1049,679,370,105,30,75,11.05
110529,1999,2489,1008,1481,226,90,136,13.49
110538,1999,2007,1139,868,304,67,237,20.81
110547,1999,453,319,134,26,5,21,6.58
110556,1999,1703,1002,701,225,56,169,16.87
110565,1999,2544,1543,1001,349,63,286,18.54
110574,1999,714,466,248,119,26,93,19.96
110583,1999,3309,2128,1181,361,75,286,13.44
110592,1999,1186,750,436,111,32,79,10.53
110617,1999,1753,1013,740,159,39,120,11.85
113698,1999,111,88,23,50,10,40,45.45
115755,1999,751,436,315,89,25,64,14.68
119173,1999,294,293,1,57,0,57,19.45
120184,1999,129,85,44,50,17,33,38.82
121309,1999,613,392,221,332,117,215,54.85
121345,1999,390,194,196,338,167,171,88.14
122409,1999,2834,1574,1260,394,119,275,17.47
122436,1999,990,621,369,611,204,407,65.54
122597,1999,1898,1158,740,178,54,124,10.71
122612,1999,757,500,257,379,109,270,54
122931,1999,1101,619,482,854,358,496,80.13
123554,1999,629,363,266,369,142,227,62.53
123572,1999,844,555,289,161,24,137,24.68
126562,1999,478,259,219,76,30,46,17.76
126580,1999,682,395,287,104,35,69,17.47
126614,1999,4545,2303,2242,1728,700,1028,44.64
126818,1999,3076,1702,1374,1054,371,683,40.13
127060,1999,812,410,402,420,181,239,58.29
127185,1999,1019,429,590,102,37,65,15.15
127565,1999,1440,764,676,86,40,46,6.02
127741,1999,2291,1401,890,589,129,460,32.83
128106,1999,611,326,285,76,27,49,15.03
128744,1999,190,96,94,39,15,24,25
128771,1999,1280,559,721,143,47,96,17.17
129020,1999,2940,1596,1344,1454,523,931,58.33
129242,1999,837,446,391,662,287,375,84.08
129941,1999,322,117,205,66,32,34,29.06
130253,1999,718,416,302,401,141,260,62.5
130314,1999,144,144,0,61,0,61,42.36
130493,1999,1238,702,536,148,50,98,13.96
130590,1999,565,286,279,442,206,236,82.52
130697,1999,732,375,357,609,283,326,86.93
130776,1999,697,359,338,70,22,48,13.37
130794,1999,1358,682,676,1219,594,625,91.64
130934,1999,632,375,257,132,37,95,25.33
130943,1999,3513,2146,1367,2193,764,1429,66.59
131159,1999,1146,744,402,723,231,492,66.13
131283,1999,762,381,381,457,204,253,66.4
131450,1999,254,135,119,14,6,8,5.93
131469,1999,2109,1282,827,1515,556,959,74.8
131496,1999,1474,802,672,1299,587,712,88.78
131520,1999,937,632,305,405,99,306,48.42
132471,1999,398,251,147,9,1,8,3.19
132602,1999,677,360,317,134,36,98,27.22
132903,1999,4267,2256,2011,1298,425,873,38.7
133492,1999,403,210,193,232,101,131,62.38
133553,1999,939,151,788,305,245,60,39.74
133650,1999,2205,1277,928,360,86,274,21.46
133669,1999,1423,860,563,201,56,145,16.86
133711,1999,419,267,152,186,61,125,46.82
133881,1999,402,116,286,139,95,44,37.93
133951,1999,2482,1460,1022,525,141,384,26.3
134079,1999,425,267,158,173,55,118,44.19
134097,1999,5078,2934,2144,2244,793,1451,49.45
134130,1999,6065,3388,2677,3191,1111,2080,61.39
134945,1999,309,122,187,98,49,49,40.16
135726,1999,1845,998,847,1031,439,592,59.32
136172,1999,1501,886,615,375,97,278,31.38
136950,1999,448,267,181,220,87,133,49.81
137546,1999,548,325,223,312,119,193,59.38
138354,1999,637,335,302,132,54,78,23.28
138716,1999,648,424,224,92,23,69,16.27
138789,1999,602,386,216,35,10,25,6.48
