unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2006,1133,584,549,110,29,81,13.87
100663,2006,1485,895,590,378,124,254,28.38
100751,2006,4275,2377,1898,1757,660,1097,46.15
100858,2006,4072,2168,1904,1556,549,1007,46.45
101435,2006,214,85,129,72,36,36,42.35
101480,2006,1106,626,480,106,23,83,13.26
101675,2006,352,159,193,15,3,12,7.55
101879,2006,1019,575,444,112,26,86,14.96
102049,2006,644,392,252,326,99,227,57.91
102094,2006,1355,777,578,190,55,135,17.37
102234,2006,345,226,119,189,62,127,56.19
102368,2006,1666,964,702,238,77,161,16.7
102377,2006,688,395,293,151,33,118,29.87
104151,2006,8533,4556,3977,2837,1145,1692,37.14
104179,2006,5788,3092,2696,2085,813,1272,41.14
105330,2006,2527,1488,1039,756,224,532,35.75
106245,2006,603,317,286,40,19,21,6.62
106342,2006,128,61,67,56,27,29,47.54
106397,2006,2719,1346,1373,945,398,547,40.64
106412,2006,688,340,348,55,18,37,10.88
106458,2006,1659,946,713,345,124,221,23.36
106467,2006,1426,711,715,234,83,151,21.24
106485,2006,630,335,295,71,28,43,12.84
106704,2006,2352,1340,1012,538,187,351,26.19
107044,2006,901,477,424,365,134,231,48.43
107080,2006,396,222,174,251,99,152,68.47
107141,2006,326,168,158,190,78,112,66.67
107512,2006,367,190,177,185,73,112,58.95
107558,2006,164,80,84,59,29,30,37.5
110097,2006,799,521,278,364,102,262,50.29
110404,2006,210,60,150,166,113,53,88.33
110422,2006,3761,1648,2113,1044,362,682,41.38
110486,2006,854,553,301,120,29,91,16.46
110495,2006,846,570,276,148,37,111,19.47
110510,2006,1774,1157,617,201,55,146,12.62
110529,2006,3138,1357,1781,341,128,213,15.7
110538,2006,2430,1326,1104,420,103,317,23.91
110547,2006,984,716,268,41,8,33,4.61
110556,2006,2528,1501,1027,344,108,236,15.72
110565,2006,3736,2262,1474,500,122,378,16.71
110574,2006,881,506,375,131,48,83,16.4
110583,2006,4334,2757,1577,550,175,375,13.6
110592,2006,1542,961,581,113,36,77,8.01
110617,2006,2590,1570,1020,263,79,184,11.72
113698,2006,263,193,70,100,18,82,42.49
115755,2006,966,550,416,132,46,86,15.64
119173,2006,345,336,9,76,1,75,22.32
120184,2006,134,93,41,51,15,36,38.71
121309,2006,537,342,195,352,118,234,68.42
121345,2006,378,190,188,337,162,175,92.11
122409,2006,4109,2458,1651,1309,382,927,37.71
122436,2006,1103,703,400,714,214,500,71.12
122597,2006,3117,2017,1100,418,128,290,14.38
122612,2006,1073,733,340,582,166,416,56.75
122931,2006,1340,740,600,1055,448,607,82.03
123554,2006,600,384,216,292,105,187,48.7
123572,2006,1513,1033,480,410,104,306,29.62
126562,2006,885,510,375,155,52,103,20.2
126580,2006,914,531,383,216,75,141,26.55
126614,2006,5606,2688,2918,2336,1016,1320,49.11
126818,2006,3825,2166,1659,1448,441,1007,46.49
127060,2006,1135,615,520,692,290,402,65.37
127185,2006,821,367,454,161,59,102,27.79
127565,2006,1711,925,786,102,33,69,7.46
127741,2006,2491,1442,1049,659,204,455,31.55
128106,2006,628,350,278,112,42,70,20
128744,2006,303,176,127,70,20,50,28.41
128771,2006,1282,603,679,272,117,155,25.7
129020,2006,3222,1631,1591,2148,962,1186,72.72
129242,2006,896,534,362,696,269,427,79.96
129941,2006,690,325,365,305,157,148,45.54
130253,2006,931,603,328,536,172,364,60.36
130314,2006,133,133,0,50,0,50,37.59
130493,2006,1516,987,529,262,54,208,21.07
130590,2006,608,294,314,466,229,237,80.61
130697,2006,716,352,364,624,316,308,87.5
130776,2006,843,413,430,167,64,103,24.94
130794,2006,1313,654,659,1169,578,591,90.37
130934,2006,818,463,355,126,37,89,19.22
130943,2006,3563,2127,1436,2175,777,1398,65.73
131159,2006,1385,923,462,1007,321,686,74.32
131283,2006,856,459,397,527,219,308,67.1
131450,2006,209,96,113,15,5,10,10.42
131469,2006,2440,1348,1092,1804,756,1048,77.74
131496,2006,1588,877,711,1419,630,789,89.97
131520,2006,1512,1022,490,629,155,474,46.38
132471,2006,387,255,132,82,24,58,22.75
132602,2006,901,497,404,142,64,78,15.69
132903,2006,6389,3389,3000,2257,754,1503,44.35
133492,2006,544,315,229,308,113,195,61.9
133553,2006,1101,161,940,363,290,73,45.34
133650,2006,1614,925,689,156,36,120,12.97
133669,2006,2193,1208,985,339,115,224,18.54
133711,2006,463,284,179,235,77,158,55.63
133881,2006,597,160,437,222,144,78,48.75
133951,2006,3889,2099,1790,736,243,493,23.49
134079,2006,420,267,153,198,59,139,52.06
134097,2006,6191,3597,2594,3310,1201,2109,58.63
134130,2006,6674,3783,2891,4294,1572,2722,71.95
134945,2006,493,213,280,134,62,72,33.8
135726,2006,2046,1055,991,1421,644,777,73.65
136172,2006,2304,1301,1003,462,131,331,25.44
136950,2006,501,287,214,312,119,193,67.25
137546,2006,565,338,227,317,113,204,60.36
138354,2006,861,495,366,209,65,144,29.09
138716,2006,702,467,235,74,14,60,12.85
138789,2006,757,472,285,63,14,49,10.38
139144,2006,427,302,125,221,56,165,54.64
139366,2006,1054,640,414,139,37,102,15.94
139393,2006,297,166,131,163,62,101,60.84
139658,2006,1648,938,710,1108,477,631,67.27
139719,2006,486,253,233,51,9,42,16.6
139755,2006,2838,890,1948,953,548,405,45.51
139764,2006,399,236,163,52,11,41,17.37
139861,2006,1137,707,430,403,101,302,42.72
139931,2006,2731,1294,1437,617,214,403,31.14
139940,2006,2174,1313,861,439,135,304,23.15
139959,2006,5059,3161,1898,2732,900,1832,57.96
140447,2006,582,300,282,253,98,155,51.67
140960,2006,697,377,320,60,12,48,12.73
140988,2006,311,138,173,104,42,62,44.93
141185,2006,190,104,86,62,18,44,42.31
141264,2006,2015,1195,820,300,78,222,18.58
141334,2006,1694,1002,692,254,67,187,18.66
141486,2006,264,185,79,54,17,37,20
141565,2006,448,267,181,48,9,39,14.61
141574,2006,1679,922,757,293,107,186,20.17
142276,2006,994,525,469,85,23,62,11.81
142285,2006,1582,749,833,369,150,219,29.24
142461,2006,247,128,119,86,37,49,38.28
143084,2006,692,392,300,505,216,289,73.72
143288,2006,177,111,66,63,17,46,41.44
144005,2006,359,254,105,16,2,14,5.51
144281,2006,1972,1025,947,547,247,300,29.27
144740,2006,2531,1428,1103,1280,482,798,55.88
144892,2006,1760,1062,698,583,164,419,39.45
144962,2006,484,296,188,275,100,175,59.12
144971,2006,137,74,63,54,26,28,37.84
145600,2006,2830,1554,1276,878,380,498,32.05
145619,2006,379,189,190,139,57,82,43.39
145637,2006,7152,3518,3634,4881,2256,2625,74.62
145691,2006,293,154,139,148,49,99,64.29
145813,2006,3188,1915,1273,1496,471,1025,53.52
146481,2006,386,224,162,241,96,145,64.73
146612,2006,568,323,245,223,94,129,39.94
146719,2006,2134,1426,708,1104,357,747,52.38
146825,2006,166,86,80,41,14,27,31.4
147013,2006,343,162,181,114,40,74,45.68
147244,2006,475,261,214,214,89,125,47.89
147341,2006,392,215,177,172,64,108,50.23
147703,2006,3260,1641,1619,903,427,476,29.01
147767,2006,2060,1089,971,1768,799,969,88.98
147776,2006,1022,600,422,40,18,22,3.67
147828,2006,751,414,337,332,126,206,49.76
148131,2006,161,88,73,67,27,40,45.45
148496,2006,362,256,106,203,52,151,58.98
148584,2006,181,104,77,62,21,41,39.42
148627,2006,525,370,155,172,47,125,33.78
149222,2006,2278,1005,1273,586,266,320,31.84
149231,2006,1770,1025,745,527,163,364,35.51
149772,2006,1907,909,998,583,303,280,30.8
149781,2006,572,278,294,435,219,216,77.7
150066,2006,447,245,202,206,83,123,50.2
150136,2006,3947,2027,1920,1155,425,730,36.01
150145,2006,303,190,113,136,41,95,50
150163,2006,965,604,361,479,150,329,54.47
150400,2006,595,334,261,442,186,256,76.65
150534,2006,643,379,264,359,139,220,58.05
150668,2006,206,122,84,114,44,70,57.38
150941,2006,250,140,110,126,52,74,52.86
151102,2006,1608,859,749,61,20,41,4.77
151111,2006,2516,1549,967,317,109,208,13.43
151306,2006,2021,1253,768,321,70,251,20.03
151324,2006,1657,827,830,335,125,210,25.39
151333,2006,329,210,119,26,6,20,9.52
151342,2006,772,427,345,31,16,15,3.51
151351,2006,7208,3875,3333,3949,1681,2268,58.53
151360,2006,561,352,209,31,8,23,6.53
151379,2006,727,430,297,63,24,39,9.07
151388,2006,225,135,90,9,3,6,4.44
151777,2006,311,137,174,136,62,74,54.01
151786,2006,277,148,129,108,32,76,51.35
152080,2006,2029,928,1101,1800,962,838,90.3
152248,2006,1036,546,490,52,19,33,6.04
152363,2006,251,111,140,100,49,51,45.95
152530,2006,492,266,226,341,146,195,73.31
152600,2006,760,394,366,469,206,263,66.75
153001,2006,265,133,132,111,51,60,45.11
153108,2006,413,218,195,256,103,153,70.18
153269,2006,779,470,309,429,173,256,54.47
153384,2006,405,206,199,348,166,182,88.35
153603,2006,3933,1780,2153,1525,649,876,49.21
153834,2006,610,350,260,417,180,237,67.71
154095,2006,1684,1010,674,648,200,448,44.36
155089,2006,139,64,75,12,8,4,6.25
