unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,1995,849,434,415,185,47,138,31.8
100663,1995,1052,599,453,128,37,91,15.19
100751,1995,2493,1387,1106,748,246,502,36.19
100858,1995,3486,1832,1654,1106,345,761,41.54
101435,1995,160,106,54,56,17,39,36.79
101480,1995,798,435,363,136,36,100,22.99
101675,1995,229,114,115,120,50,70,61.4
101879,1995,762,444,318,167,44,123,27.7
102049,1995,647,399,248,331,118,213,53.38
102094,1995,1192,674,518,167,54,113,16.77
102234,1995,232,141,91,113,34,79,56.03
102368,1995,877,477,400,354,120,234,49.06
102377,1995,645,383,262,139,35,104,27.15
104151,1995,3945,2096,1849,854,299,555,26.48
104179,1995,4370,2382,1988,1160,405,755,31.7
105330,1995,2015,1120,895,436,133,303,27.05
106245,1995,675,390,285,103,37,66,16.92
106342,1995,168,90,78,82,32,50,55.56
106397,1995,2249,1148,1101,425,155,270,23.52
106412,1995,565,302,263,39,11,28,9.27
106458,1995,1448,803,645,218,65,153,19.05
106467,1995,756,386,370,133,46,87,22.54
106485,1995,489,254,235,46,14,32,12.6
106704,1995,1469,920,549,207,46,161,17.5
107044,1995,779,437,342,250,92,158,36.16
107080,1995,273,166,107,148,58,90,54.22
107141,1995,224,115,109,71,28,43,37.39
107512,1995,380,206,174,173,75,98,47.57
107558,1995,133,66,67,29,14,15,22.73
110097,1995,407,278,129,168,45,123,44.24
110404,1995,218,52,166,156,108,48,92.31
110422,1995,2418,1092,1326,356,114,242,22.16
110486,1995,397,236,161,43,11,32,13.56
110495,1995,353,242,111,75,12,63,26.03
110510,1995,799,505,294,58,16,42,8.32
110529,1995,1422,621,801,96,37,59,9.5
110538,1995,1401,832,569,161,22,139,16.71
110547,1995,467,335,132,19,4,15,4.48
110556,1995,1571,915,656,176,44,132,14.43
110565,1995,1832,1036,796,148,41,107,10.33
110574,1995,542,331,211,55,22,33,9.97
110583,1995,2057,1307,750,88,26,62,4.74
110592,1995,1243,766,477,49,12,37,4.83
110617,1995,1219,735,484,96,24,72,9.8
113698,1995,69,51,18,27,5,22,43.14
115755,1995,908,503,405,69,18,51,10.14
119173,1995,222,220,2,50,2,48,21.82
120184,1995,115,79,36,44,9,35,44.3
121309,1995,475,313,162,185,57,128,40.89
121345,1995,392,190,202,336,166,170,89.47
122409,1995,2840,1716,1124,212,58,154,8.97
122436,1995,978,597,381,500,186,314,52.6
122597,1995,1539,966,573,89,26,63,6.52
122612,1995,550,350,200,237,71,166,47.43
122931,1995,1043,558,485,757,329,428,76.7
123554,1995,474,256,218,306,141,165,64.45
123572,1995,681,441,240,131,41,90,20.41
