unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2007,882,475,407,88,21,67,14.11
100663,2007,1378,807,571,404,137,267,33.09
100751,2007,4438,2461,1977,1897,708,1189,48.31
100858,2007,4165,2207,1958,1565,548,1017,46.08
101435,2007,257,117,140,78,23,55,47.01
101480,2007,1252,696,556,127,44,83,11.93
101675,2007,486,246,240,29,7,22,8.94
101879,2007,1023,558,465,126,31,95,17.03
102049,2007,711,459,252,348,112,236,51.42
102094,2007,1457,801,656,200,68,132,16.48
102234,2007,380,243,137,179,65,114,46.91
102368,2007,1763,1011,752,222,75,147,14.54
102377,2007,796,444,352,133,31,102,22.97
104151,2007,7308,3775,3533,2753,1126,1627,43.1
104179,2007,6231,3395,2836,2485,976,1509,44.45
105330,2007,2880,1676,1204,868,261,607,36.22
106245,2007,812,471,341,57,28,29,6.16
106342,2007,143,84,59,62,19,43,51.19
106397,2007,2877,1425,1452,1055,456,599,42.04
106412,2007,786,411,375,44,10,34,8.27
106458,2007,1655,962,693,309,102,207,21.52
106467,2007,1548,762,786,278,131,147,19.29
106485,2007,617,303,314,52,19,33,10.89
106704,2007,1763,1054,709,362,118,244,23.15
107044,2007,960,549,411,388,124,264,48.09
107080,2007,365,194,171,231,99,132,68.04
107141,2007,361,206,155,200,81,119,57.77
107512,2007,372,202,170,179,60,119,58.91
107558,2007,178,102,76,61,17,44,43.14
110097,2007,789,514,275,385,118,267,51.95
110404,2007,231,86,145,190,117,73,84.88
110422,2007,4419,1885,2534,1282,460,822,43.61
110486,2007,859,578,281,129,25,104,17.99
110495,2007,910,592,318,166,34,132,22.3
110510,2007,1656,1098,558,156,43,113,10.29
110529,2007,3414,1459,1955,343,118,225,15.42
110538,2007,2710,1418,1292,458,138,320,22.57
110547,2007,913,602,311,35,11,24,3.99
110556,2007,2552,1526,1026,350,112,238,15.6
110565,2007,4040,2430,1610,550,135,415,17.08
110574,2007,1032,602,430,111,49,62,10.3
110583,2007,4134,2620,1514,581,166,415,15.84
110592,2007,1767,1106,661,119,40,79,7.14
110617,2007,2357,1426,931,194,64,130,9.12
113698,2007,297,225,72,107,23,84,37.33
115755,2007,1039,551,488,112,39,73,13.25
119173,2007,348,331,17,93,7,86,25.98
120184,2007,96,57,39,35,12,23,40.35
121309,2007,530,336,194,327,109,218,64.88
121345,2007,375,188,187,348,172,176,93.62
122409,2007,4506,2685,1821,1472,449,1023,38.1
122436,2007,1089,635,454,704,254,450,70.87
122597,2007,3341,2123,1218,424,118,306,14.41
122612,2007,1052,680,372,595,179,416,61.18
122931,2007,1201,619,582,923,431,492,79.48
123554,2007,600,366,234,283,102,181,49.45
123572,2007,1673,1073,600,434,97,337,31.41
126562,2007,1010,571,439,163,66,97,16.99
