unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2010,1073,549,524,69,18,51,9.29
100663,2010,1537,851,686,463,176,287,33.73
100751,2010,5443,3006,2437,2387,856,1531,50.93
100858,2010,4193,2204,1989,1963,730,1233,55.94
101435,2010,271,113,158,71,30,41,36.28
101480,2010,1246,685,561,180,55,125,18.25
101675,2010,343,141,202,44,18,26,18.44
101879,2010,961,562,399,152,43,109,19.4
102049,2010,711,455,256,417,132,285,62.64
102094,2010,1707,950,757,262,83,179,18.84
102234,2010,392,252,140,180,56,124,49.21
102368,2010,1810,1083,727,295,97,198,18.28
102377,2010,701,393,308,228,99,129,32.82
104151,2010,6210,2997,3213,3071,1409,1662,55.46
104179,2010,6797,3629,3168,2847,1137,1710,47.12
105330,2010,3739,2209,1530,1354,442,912,41.29
106245,2010,683,376,307,80,40,40,10.64
106342,2010,198,107,91,70,29,41,38.32
106397,2010,3774,1929,1845,1596,634,962,49.87
106412,2010,780,393,387,51,13,38,9.67
106458,2010,1659,897,762,438,167,271,30.21
106467,2010,1681,823,858,259,105,154,18.71
106485,2010,689,338,351,69,30,39,11.54
106704,2010,1828,1070,758,445,155,290,27.1
107044,2010,988,506,482,426,177,249,49.21
107080,2010,403,237,166,259,96,163,68.78
107141,2010,322,175,147,180,82,98,56
107512,2010,450,243,207,264,102,162,66.67
107558,2010,204,114,90,61,28,33,28.95
110097,2010,877,560,317,471,159,312,55.71
110404,2010,220,87,133,179,105,74,85.06
110422,2010,3459,1642,1817,1634,636,998,60.78
110486,2010,1013,613,400,148,50,98,15.99
110495,2010,998,670,328,156,41,115,17.16
110510,2010,1747,1114,633,251,73,178,15.98
110529,2010,1923,835,1088,352,150,202,24.19
110538,2010,1880,1048,832,484,160,324,30.92
110547,2010,982,633,349,50,17,33,5.21
110556,2010,2582,1551,1031,420,116,304,19.6
110565,2010,3749,2160,1589,660,173,487,22.55
110574,2010,1192,751,441,168,47,121,16.11
110583,2010,3913,2310,1603,585,189,396,17.14
110592,2010,2013,1222,791,127,48,79,6.46
110617,2010,2625,1548,1077,238,69,169,10.92
113698,2010,338,255,83,192,45,147,57.65
115755,2010,1282,701,581,188,65,123,17.55
119173,2010,525,507,18,140,3,137,27.02
120184,2010,145,94,51,50,15,35,37.23
121309,2010,588,360,228,367,130,237,65.83
121345,2010,401,217,184,369,169,200,92.17
122409,2010,3031,1802,1229,1017,352,665,36.9
122436,2010,1148,662,486,752,280,472,71.3
122597,2010,3609,2179,1430,648,210,438,20.1
122612,2010,1171,750,421,721,233,488,65.07
122931,2010,1295,644,651,1056,498,558,86.65
123554,2010,694,421,273,387,139,248,58.91
123572,2010,1547,925,622,430,106,324,35.03
126562,2010,1020,551,469,210,76,134,24.32
126580,2010,1123,568,555,284,112,172,30.28
126614,2010,5138,2403,2735,2438,1094,1344,55.93
126818,2010,4321,2414,1907,1820,656,1164,48.22
127060,2010,1215,663,552,806,320,486,73.3
127185,2010,830,393,437,203,74,129,32.82
127565,2010,1876,916,960,112,43,69,7.53
127741,2010,2221,1420,801,653,183,470,33.1
128106,2010,977,467,510,182,80,102,21.84
128744,2010,594,397,197,122,41,81,20.4
128771,2010,1340,592,748,279,125,154,26.01
129020,2010,3317,1629,1688,2300,1076,1224,75.14
129242,2010,921,576,345,722,250,472,81.94
129941,2010,1005,534,471,452,198,254,47.57
130253,2010,974,610,364,529,167,362,59.34
130314,2010,229,229,0,137,0,137,59.83
130493,2010,1248,792,456,299,58,241,30.43
130590,2010,591,300,291,473,223,250,83.33
130697,2010,748,411,337,652,292,360,87.59
130776,2010,975,524,451,209,85,124,23.66
130794,2010,1343,696,647,1161,547,614,88.22
130934,2010,887,556,331,220,58,162,29.14
130943,2010,3719,2116,1603,2399,913,1486,70.23
131159,2010,1498,911,587,1145,438,707,77.61
131283,2010,991,576,415,613,240,373,64.76
131450,2010,198,107,91,39,10,29,27.1
131469,2010,2376,1316,1060,1805,761,1044,79.33
131496,2010,1569,859,710,1414,623,791,92.08
131520,2010,1464,1034,430,571,122,449,43.42
132471,2010,625,403,222,98,32,66,16.38
132602,2010,924,579,345,132,32,100,17.27
132903,2010,6028,3179,2849,2407,859,1548,48.69
133492,2010,496,300,196,304,117,187,62.33
133553,2010,949,120,829,283,239,44,36.67
133650,2010,2701,1636,1065,331,94,237,14.49
133669,2010,2616,1359,1257,501,169,332,24.43
133711,2010,612,347,265,281,98,183,52.74
